"No.","Host","Ip","dst","Protocol"
"2","5.85.222.35.bc.googleusercontent.com","35.222.85.5","sungwonryu1","TCP"
"13","place.map.kakao.com","121.53.201.216","sungwonryu1","TCP"
"19","5.85.222.35.bc.googleusercontent.com","35.222.85.5","sungwonryu1","HTTP"
"21","5.85.222.35.bc.googleusercontent.com","35.222.85.5","sungwonryu1","TCP"
"23","place.map.kakao.com","121.53.201.216","sungwonryu1","TCP"
"25","place.map.kakao.com","121.53.201.216","sungwonryu1","TCP"
"27","place.map.kakao.com","121.53.201.216","sungwonryu1","TCP"
"29","place.map.kakao.com","121.53.201.216","sungwonryu1","TLSv1.2"
"31","5.85.222.35.bc.googleusercontent.com","35.222.85.5","sungwonryu1","TCP"
"43","place.map.kakao.com","121.53.201.216","sungwonryu1","TLSv1.2"
"45","place.map.kakao.com","121.53.201.216","sungwonryu1","TLSv1.2"
"47","place.map.kakao.com","121.53.201.216","sungwonryu1","TCP"
"57","5.85.222.35.bc.googleusercontent.com","35.222.85.5","sungwonryu1","TCP"
"58","5.85.222.35.bc.googleusercontent.com","35.222.85.5","sungwonryu1","TCP"
"60","place.map.kakao.com","121.53.201.216","sungwonryu1","TCP"
"62","place.map.kakao.com","121.53.201.216","sungwonryu1","TCP"
"64","place.map.kakao.com","121.53.201.216","sungwonryu1","TCP"
"66","place.map.kakao.com","121.53.201.216","sungwonryu1","TLSv1.2"
"68","place.map.kakao.com","121.53.201.216","sungwonryu1","TLSv1.2"
"70","place.map.kakao.com","121.53.201.216","sungwonryu1","TLSv1.2"
"94","place.map.kakao.com","121.53.201.216","sungwonryu1","TCP"
"96","place.map.kakao.com","121.53.201.216","sungwonryu1","TCP"
"128","ssl.daumcdn.net","113.29.189.47","sungwonryu1","TCP"
"130","s1.g.daum.net","27.0.236.149","sungwonryu1","TCP"
"140","m1.g.daum.net","113.29.190.176","sungwonryu1","TCP"
"142","s1.g.daum.net","27.0.236.149","sungwonryu1","TCP"
"144","m1.g.daum.net","113.29.190.176","sungwonryu1","TCP"
"146","m1.g.daum.net","113.29.190.176","sungwonryu1","TCP"
"164","s1.g.daum.net","27.0.236.149","sungwonryu1","TCP"
"166","s1.g.daum.net","27.0.236.149","sungwonryu1","TLSv1.2"
"170","s1.g.daum.net","27.0.236.149","sungwonryu1","TCP"
"172","s1.g.daum.net","27.0.236.149","sungwonryu1","TLSv1.2"
"174","s1.g.daum.net","27.0.236.149","sungwonryu1","TLSv1.2"
"176","ssl.daumcdn.net","113.29.189.47","sungwonryu1","TLSv1.2"
"178","ssl.daumcdn.net","113.29.189.47","sungwonryu1","TCP"
"180","ssl.daumcdn.net","113.29.189.47","sungwonryu1","TLSv1.2"
"182","ssl.daumcdn.net","113.29.189.47","sungwonryu1","TLSv1.2"
"184","m1.g.daum.net","113.29.190.176","sungwonryu1","TLSv1.2"
"192","m1.g.daum.net","113.29.190.176","sungwonryu1","TCP"
"194","m1.g.daum.net","113.29.190.176","sungwonryu1","TLSv1.2"
"196","m1.g.daum.net","113.29.190.176","sungwonryu1","TLSv1.2"
"198","m1.g.daum.net","113.29.190.176","sungwonryu1","TCP"
"200","m1.g.daum.net","113.29.190.176","sungwonryu1","TCP"
"202","m1.g.daum.net","113.29.190.176","sungwonryu1","TCP"
"204","s1.g.daum.net","27.0.236.149","sungwonryu1","TCP"
"206","m1.g.daum.net","113.29.190.176","sungwonryu1","TLSv1.2"
"208","m1.g.daum.net","113.29.190.176","sungwonryu1","TCP"
"210","m1.g.daum.net","113.29.190.176","sungwonryu1","TLSv1.2"
"212","m1.g.daum.net","113.29.190.176","sungwonryu1","TLSv1.2"
"214","m1.g.daum.net","113.29.190.176","sungwonryu1","TLSv1.2"
"216","m1.g.daum.net","113.29.190.176","sungwonryu1","TCP"
"218","m1.g.daum.net","113.29.190.176","sungwonryu1","TLSv1.2"
"220","m1.g.daum.net","113.29.190.176","sungwonryu1","TLSv1.2"
"222","s1.g.daum.net","27.0.236.149","sungwonryu1","TLSv1.2"
"224","s1.g.daum.net","27.0.236.149","sungwonryu1","TCP"
"226","s1.g.daum.net","27.0.236.149","sungwonryu1","TLSv1.2"
"232","s1.g.daum.net","27.0.236.149","sungwonryu1","TLSv1.2"
"282","s1.g.daum.net","27.0.236.149","sungwonryu1","TLSv1.2"
"290","s1.g.daum.net","27.0.236.149","sungwonryu1","TLSv1.2"
"302","s1.g.daum.net","27.0.236.149","sungwonryu1","TLSv1.2"
"304","s1.g.daum.net","27.0.236.149","sungwonryu1","TLSv1.2"
"306","ssl.daumcdn.net","113.29.189.47","sungwonryu1","TLSv1.2"
"318","m1.g.daum.net","113.29.190.176","sungwonryu1","TLSv1.2"
"320","m1.g.daum.net","113.29.190.176","sungwonryu1","TCP"
"322","m1.g.daum.net","113.29.190.176","sungwonryu1","TLSv1.2"
"324","m1.g.daum.net","113.29.190.176","sungwonryu1","TCP"
"326","m1.g.daum.net","113.29.190.176","sungwonryu1","TLSv1.2"
"328","m1.g.daum.net","113.29.190.176","sungwonryu1","TLSv1.2"
"330","m1.g.daum.net","113.29.190.176","sungwonryu1","TCP"
"336","m1.g.daum.net","113.29.190.176","sungwonryu1","TLSv1.2"
"338","m1.g.daum.net","113.29.190.176","sungwonryu1","TLSv1.2"
"340","m1.g.daum.net","113.29.190.176","sungwonryu1","TLSv1.2"
"358","ssl.daumcdn.net","113.29.189.47","sungwonryu1","TCP"
"360","ssl.daumcdn.net","113.29.189.47","sungwonryu1","TLSv1.2"
"366","m1.g.daum.net","113.29.190.176","sungwonryu1","TCP"
"400","hklkakao.cdngs.net","183.110.194.38","sungwonryu1","TCP"
"408","hklkakao.cdngs.net","183.110.194.38","sungwonryu1","TCP"
"424","update.googleapis.com","172.217.26.35","sungwonryu1","TCP"
"430","update.googleapis.com","172.217.26.35","sungwonryu1","TCP"
"432","update.googleapis.com","172.217.26.35","sungwonryu1","TLSv1.3"
"434","update.googleapis.com","172.217.26.35","sungwonryu1","TCP"
"436","update.googleapis.com","172.217.26.35","sungwonryu1","TCP"
"455","update.googleapis.com","172.217.26.35","sungwonryu1","TCP"
"457","update.googleapis.com","172.217.26.35","sungwonryu1","TLSv1.3"
"463","update.googleapis.com","172.217.26.35","sungwonryu1","TLSv1.3"
"465","update.googleapis.com","172.217.26.35","sungwonryu1","TLSv1.3"
"467","update.googleapis.com","172.217.26.35","sungwonryu1","TCP"
"475","update.googleapis.com","172.217.26.35","sungwonryu1","TCP"
"477","update.googleapis.com","172.217.26.35","sungwonryu1","TLSv1.3"
"479","update.googleapis.com","172.217.26.35","sungwonryu1","TLSv1.3"
