"No.","Host","Ip","dst","Protocol"
"13","27.0.237.13","27.0.237.13","sungwonryu1","TLSv1.2"
"15","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"17","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"25","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"39","203.133.166.33","203.133.166.33","sungwonryu1","TLSv1.2"
"41","203.133.166.33","203.133.166.33","sungwonryu1","TCP"
"47","203.133.166.33","203.133.166.33","sungwonryu1","TCP"
"63","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"72","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TLSv1.2"
"77","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"87","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"91","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"95","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TLSv1.2"
"97","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"99","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"101","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"103","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"107","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"109","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TLSv1.2"
"111","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"113","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"115","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"119","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"123","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TLSv1.2"
"125","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TLSv1.2"
"139","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"141","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"143","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"147","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"149","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"159","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TLSv1.2"
"161","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"163","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"165","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"167","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"169","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"171","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TLSv1.2"
"173","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"175","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"177","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"179","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"181","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"187","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TLSv1.2"
"189","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"191","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"193","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"195","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"197","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"199","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TLSv1.2"
"205","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"215","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"233","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"235","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"237","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"249","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TLSv1.2"
"257","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"259","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"261","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"263","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"269","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"275","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TLSv1.2"
"277","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"279","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"281","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"283","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"285","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"287","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TLSv1.2"
"289","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"291","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"293","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"295","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"297","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"299","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TLSv1.2"
"301","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"303","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"305","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"307","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"309","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"311","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TLSv1.2"
"313","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"315","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"317","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"319","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"321","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"323","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TLSv1.2"
"325","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TLSv1.2"
"383","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"391","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"397","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TLSv1.2"
"399","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"401","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"403","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TLSv1.2"
"405","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"419","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TLSv1.2"
"429","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TLSv1.2"
"431","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"439","nvpf-connection-93l4depi.kgslb.com","121.53.105.4","sungwonryu1","TCP"
"441","kakaonavi-pool.gl.kakao.com","211.231.99.171","sungwonryu1","TCP"
"447","nvpf-connection-93l4depi.kgslb.com","121.53.105.4","sungwonryu1","TCP"
"451","nvpf-connection-93l4depi.kgslb.com","121.53.105.4","sungwonryu1","TCP"
"453","nvpf-connection-93l4depi.kgslb.com","121.53.105.4","sungwonryu1","TCP"
"475","nvpf-connection-93l4depi.kgslb.com","121.53.105.4","sungwonryu1","TCP"
"479","nvpf-connection-93l4depi.kgslb.com","121.53.105.4","sungwonryu1","TCP"
"481","nvpf-connection-93l4depi.kgslb.com","121.53.105.4","sungwonryu1","TCP"
