"No.","Host","Ip","dst","Protocol"
"25","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"27","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"33","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"35","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"41","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"43","203.133.172.18","203.133.172.18","sungwonryu1","TLSv1.2"
"45","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"47","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"49","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"51","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"53","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"55","203.133.172.18","203.133.172.18","sungwonryu1","TLSv1.2"
"57","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"59","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"61","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"63","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"65","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"67","203.133.172.18","203.133.172.18","sungwonryu1","TLSv1.2"
"69","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"71","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"73","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"75","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"77","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"79","203.133.172.18","203.133.172.18","sungwonryu1","TLSv1.2"
"81","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"83","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"85","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"87","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"89","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"119","203.133.172.18","203.133.172.18","sungwonryu1","TLSv1.2"
"121","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"123","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"135","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"137","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"139","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"155","203.133.172.18","203.133.172.18","sungwonryu1","TLSv1.2"
"157","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"159","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"165","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"167","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"177","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"179","203.133.172.18","203.133.172.18","sungwonryu1","TLSv1.2"
"181","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"183","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"185","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
"187","203.133.172.18","203.133.172.18","sungwonryu1","TCP"
