"No.","Host","Ip","dst","Protocol"
"138","nrt12s13-in-f195.1e100.net","172.217.25.195","sungwonryu1","TCP"
"147","nrt12s13-in-f195.1e100.net","172.217.25.195","sungwonryu1","TCP"
"160","nrt12s13-in-f195.1e100.net","172.217.25.195","sungwonryu1","TLSv1.2"
"162","nrt12s13-in-f195.1e100.net","172.217.25.195","sungwonryu1","TCP"
"164","nrt12s13-in-f195.1e100.net","172.217.25.195","sungwonryu1","TLSv1.2"
"190","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"202","android.l.google.com","172.217.25.110","sungwonryu1","TCP"
"204","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"206","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"208","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"210","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"212","nrt12s13-in-f195.1e100.net","172.217.25.195","sungwonryu1","TLSv1.2"
"214","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"238","kinsight-event.gl.kakao.com","203.217.239.62","sungwonryu1","TCP"
"240","kauth.gl.kakao.com","203.133.166.32","sungwonryu1","TCP"
"242","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"244","android.l.google.com","172.217.25.110","sungwonryu1","TCP"
"246","android.l.google.com","172.217.25.110","sungwonryu1","TLSv1.3"
"248","android.l.google.com","172.217.25.110","sungwonryu1","TCP"
"250","android.l.google.com","172.217.25.110","sungwonryu1","TLSv1.3"
"252","nrt12s13-in-f195.1e100.net","172.217.25.195","sungwonryu1","TCP"
"254","nrt12s13-in-f195.1e100.net","172.217.25.195","sungwonryu1","TLSv1.2"
"256","nrt12s13-in-f195.1e100.net","172.217.25.195","sungwonryu1","TLSv1.2"
"258","nrt12s13-in-f195.1e100.net","172.217.25.195","sungwonryu1","TLSv1.2"
"260","nrt12s13-in-f195.1e100.net","172.217.25.195","sungwonryu1","TLSv1.2"
"293","kinsight-event.gl.kakao.com","203.217.239.62","sungwonryu1","HTTP"
"300","kinsight-event.gl.kakao.com","203.217.239.62","sungwonryu1","TCP"
"307","kauth.gl.kakao.com","203.133.166.32","sungwonryu1","TLSv1.2"
"309","kauth.gl.kakao.com","203.133.166.32","sungwonryu1","TCP"
"311","kauth.gl.kakao.com","203.133.166.32","sungwonryu1","TLSv1.2"
"313","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"315","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"317","kauth.gl.kakao.com","203.133.166.32","sungwonryu1","TCP"
"321","android.l.google.com","172.217.25.110","sungwonryu1","TCP"
"324","ec2-34-223-156-131.us-west-2.compute.amazonaws.com","34.223.156.131","sungwonryu1","TCP"
"348","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"350","kinsight-event.gl.kakao.com","203.217.239.62","sungwonryu1","HTTP"
"352","kauth.gl.kakao.com","203.133.166.32","sungwonryu1","TLSv1.2"
"354","android.l.google.com","172.217.25.110","sungwonryu1","TCP"
"360","android.l.google.com","172.217.25.110","sungwonryu1","TLSv1.3"
"362","android.l.google.com","172.217.25.110","sungwonryu1","TLSv1.3"
"364","android.l.google.com","172.217.25.110","sungwonryu1","TLSv1.3"
"376","kauth.gl.kakao.com","203.133.166.32","sungwonryu1","TLSv1.2"
"381","events-endpoint-i-1172912053.us-east-1.elb.amazonaws.com","50.19.211.222","sungwonryu1","TCP"
"404","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"410","kapi.gl.kakao.com","27.0.237.16","sungwonryu1","TCP"
"416","nrt20s02-in-f4.1e100.net","172.217.26.4","sungwonryu1","TCP"
"422","kapi.gl.kakao.com","27.0.237.16","sungwonryu1","TLSv1.2"
"424","kapi.gl.kakao.com","27.0.237.16","sungwonryu1","TCP"
"426","kapi.gl.kakao.com","27.0.237.16","sungwonryu1","TCP"
"428","kapi.gl.kakao.com","27.0.237.16","sungwonryu1","TLSv1.2"
"430","kapi.gl.kakao.com","27.0.237.16","sungwonryu1","TCP"
"444","server-13-227-74-112.sfo20.r.cloudfront.net","13.227.74.112","sungwonryu1","TCP"
"446","nrt20s02-in-f4.1e100.net","172.217.26.4","sungwonryu1","TCP"
"448","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"450","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"452","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"454","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"456","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"458","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"464","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"466","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"468","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"470","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"472","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"474","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"476","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"478","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"480","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"482","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"484","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"486","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"488","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"490","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"492","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"494","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"496","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"498","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"500","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"502","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"508","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"510","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"512","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"514","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"516","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"530","nrt20s02-in-f4.1e100.net","172.217.26.4","sungwonryu1","TLSv1.2"
"532","nrt20s02-in-f4.1e100.net","172.217.26.4","sungwonryu1","TLSv1.2"
"534","kapi.gl.kakao.com","27.0.237.16","sungwonryu1","TLSv1.2"
"590","events-endpoint-i-1172912053.us-east-1.elb.amazonaws.com","50.19.211.222","sungwonryu1","TLSv1.2"
"592","events-endpoint-i-1172912053.us-east-1.elb.amazonaws.com","50.19.211.222","sungwonryu1","TCP"
"598","events-endpoint-i-1172912053.us-east-1.elb.amazonaws.com","50.19.211.222","sungwonryu1","TLSv1.2"
"600","events-endpoint-i-1172912053.us-east-1.elb.amazonaws.com","50.19.211.222","sungwonryu1","TLSv1.2"
"602","events-endpoint-i-1172912053.us-east-1.elb.amazonaws.com","50.19.211.222","sungwonryu1","TCP"
"610","kapi.gl.kakao.com","27.0.237.16","sungwonryu1","TLSv1.2"
"612","nrt20s02-in-f4.1e100.net","172.217.26.4","sungwonryu1","TLSv1.2"
"616","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"618","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"620","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"622","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"624","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"626","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"628","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"630","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"632","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"634","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"636","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"638","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"671","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"673","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"675","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"677","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
"687","sa4gl.wpc.chicdn.net","152.195.35.199","sungwonryu1","TCP"
