"No.","Host","Ip","dst","Protocol"
"79","kakaonavi-pool.gl.kakao.com","203.133.166.25","sungwonryu1","TCP"
"85","kakaonavi-pool.gl.kakao.com","203.133.166.25","sungwonryu1","TLSv1.2"
"87","kakaonavi-pool.gl.kakao.com","203.133.166.25","sungwonryu1","TCP"
"89","kakaonavi-pool.gl.kakao.com","203.133.166.25","sungwonryu1","TCP"
"91","kakaonavi-pool.gl.kakao.com","203.133.166.25","sungwonryu1","TLSv1.2"
"93","kakaonavi-pool.gl.kakao.com","203.133.166.25","sungwonryu1","TCP"
"107","kakaonavi-pool.gl.kakao.com","203.133.166.25","sungwonryu1","TLSv1.2"
"111","kakaonavi-pool.gl.kakao.com","203.133.166.25","sungwonryu1","TCP"
"113","kakaonavi-pool.gl.kakao.com","203.133.166.25","sungwonryu1","TLSv1.2"
"115","kakaonavi-pool.gl.kakao.com","203.133.166.25","sungwonryu1","TCP"
"125","kakaonavi-pool.gl.kakao.com","203.133.166.25","sungwonryu1","TCP"
"127","kakaonavi-pool.gl.kakao.com","203.133.166.25","sungwonryu1","TCP"
"129","kakaonavi-pool.gl.kakao.com","203.133.166.25","sungwonryu1","TCP"
"131","121.53.105.2","121.53.105.2","sungwonryu1","TLSv1.2"
"141","kakaonavi-pool.gl.kakao.com","203.133.166.25","sungwonryu1","TLSv1.2"
"143","kakaonavi-pool.gl.kakao.com","203.133.166.25","sungwonryu1","TCP"
"145","kakaonavi-pool.gl.kakao.com","203.133.166.25","sungwonryu1","TCP"
"147","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"149","kakaonavi-pool.gl.kakao.com","203.133.166.25","sungwonryu1","TLSv1.2"
"151","kakaonavi-pool.gl.kakao.com","203.133.166.25","sungwonryu1","TCP"
"153","kakaonavi-pool.gl.kakao.com","203.133.166.25","sungwonryu1","TCP"
"173","27.0.236.25","27.0.236.25","sungwonryu1","TLSv1.2"
"175","kakaonavi-pool.gl.kakao.com","203.133.166.25","sungwonryu1","TLSv1.2"
"177","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"209","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"219","kakaonavi-pool.gl.kakao.com","203.133.166.25","sungwonryu1","TCP"
"232","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"236","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"238","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"240","27.0.236.25","27.0.236.25","sungwonryu1","TLSv1.2"
"242","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"244","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"246","27.0.236.25","27.0.236.25","sungwonryu1","TLSv1.2"
"248","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"250","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"252","27.0.236.25","27.0.236.25","sungwonryu1","TLSv1.2"
"254","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"266","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"268","27.0.236.25","27.0.236.25","sungwonryu1","TLSv1.2"
"270","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"272","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"274","27.0.236.25","27.0.236.25","sungwonryu1","TLSv1.2"
"276","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"278","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"280","27.0.236.25","27.0.236.25","sungwonryu1","TLSv1.2"
"282","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"284","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"286","27.0.236.25","27.0.236.25","sungwonryu1","TLSv1.2"
"288","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"290","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"292","27.0.236.25","27.0.236.25","sungwonryu1","TLSv1.2"
"294","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"296","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"298","27.0.236.25","27.0.236.25","sungwonryu1","TLSv1.2"
"300","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"302","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"304","27.0.236.25","27.0.236.25","sungwonryu1","TLSv1.2"
"326","kakaonavi-pool.gl.kakao.com","203.133.166.25","sungwonryu1","TLSv1.2"
"328","kakaonavi-pool.gl.kakao.com","203.133.166.25","sungwonryu1","TCP"
"330","kakaonavi-pool.gl.kakao.com","203.133.166.25","sungwonryu1","TCP"
"332","kakaonavi-pool.gl.kakao.com","203.133.166.25","sungwonryu1","TCP"
"334","kakaonavi-pool.gl.kakao.com","203.133.166.25","sungwonryu1","TCP"
"336","kakaonavi-pool.gl.kakao.com","203.133.166.25","sungwonryu1","TCP"
"338","kakaonavi-pool.gl.kakao.com","203.133.166.25","sungwonryu1","TLSv1.2"
"340","kakaonavi-pool.gl.kakao.com","203.133.166.25","sungwonryu1","TCP"
"342","kakaonavi-pool.gl.kakao.com","203.133.166.25","sungwonryu1","TCP"
"344","kakaonavi-pool.gl.kakao.com","203.133.166.25","sungwonryu1","TCP"
"356","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"358","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"360","27.0.236.25","27.0.236.25","sungwonryu1","TLSv1.2"
"362","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"364","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"366","27.0.236.25","27.0.236.25","sungwonryu1","TLSv1.2"
"368","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"370","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"372","27.0.236.25","27.0.236.25","sungwonryu1","TLSv1.2"
"374","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"376","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"378","27.0.236.25","27.0.236.25","sungwonryu1","TLSv1.2"
"380","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"382","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"384","27.0.236.25","27.0.236.25","sungwonryu1","TLSv1.2"
"400","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"404","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"406","27.0.236.25","27.0.236.25","sungwonryu1","TLSv1.2"
"408","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"410","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"412","27.0.236.25","27.0.236.25","sungwonryu1","TLSv1.2"
"414","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"422","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"424","27.0.236.25","27.0.236.25","sungwonryu1","TLSv1.2"
"426","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"428","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"430","27.0.236.25","27.0.236.25","sungwonryu1","TLSv1.2"
"432","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"434","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
"436","27.0.236.25","27.0.236.25","sungwonryu1","TLSv1.2"
"438","27.0.236.25","27.0.236.25","sungwonryu1","TCP"
