"No.","Host","Ip","dst","Protocol"
"3","211.249.221.11","211.249.221.11","sungwonryu1","TLSv1.2"
"9","110.76.142.63","110.76.142.63","sungwonryu1","TCP"
"15","110.76.142.63","110.76.142.63","sungwonryu1","TCP"
"17","110.76.142.63","110.76.142.63","sungwonryu1","TLSv1.2"
"19","110.76.142.63","110.76.142.63","sungwonryu1","TCP"
"21","110.76.142.63","110.76.142.63","sungwonryu1","TLSv1.2"
"23","110.76.142.63","110.76.142.63","sungwonryu1","TLSv1.2"
"35","110.76.142.63","110.76.142.63","sungwonryu1","TLSv1.2"
"39","110.76.142.63","110.76.142.63","sungwonryu1","TCP"
"41","110.76.142.63","110.76.142.63","sungwonryu1","TCP"
"43","110.76.142.63","110.76.142.63","sungwonryu1","TLSv1.2"
"51","211.249.221.11","211.249.221.11","sungwonryu1","TLSv1.2"
"57","110.76.142.63","110.76.142.63","sungwonryu1","TCP"
"59","110.76.142.63","110.76.142.63","sungwonryu1","TCP"
"61","110.76.142.63","110.76.142.63","sungwonryu1","TLSv1.2"
"89","211.249.221.11","211.249.221.11","sungwonryu1","TLSv1.2"
"99","110.76.142.63","110.76.142.63","sungwonryu1","TCP"
"101","110.76.142.63","110.76.142.63","sungwonryu1","TCP"
"103","110.76.142.63","110.76.142.63","sungwonryu1","TLSv1.2"
"105","110.76.142.63","110.76.142.63","sungwonryu1","TLSv1.2"
"115","27.0.237.16","27.0.237.16","sungwonryu1","TLSv1.2"
"117","27.0.237.16","27.0.237.16","sungwonryu1","TCP"
"119","27.0.237.16","27.0.237.16","sungwonryu1","TCP"
"127","27.0.237.16","27.0.237.16","sungwonryu1","TCP"
"143","211.249.221.11","211.249.221.11","sungwonryu1","TLSv1.2"
"149","110.76.142.63","110.76.142.63","sungwonryu1","TCP"
"151","110.76.142.63","110.76.142.63","sungwonryu1","TCP"
"153","110.76.142.63","110.76.142.63","sungwonryu1","TLSv1.2"
"155","110.76.142.63","110.76.142.63","sungwonryu1","TCP"
"165","110.76.142.63","110.76.142.63","sungwonryu1","TCP"
"167","110.76.142.63","110.76.142.63","sungwonryu1","TLSv1.2"
"169","110.76.142.63","110.76.142.63","sungwonryu1","TCP"
"171","110.76.142.63","110.76.142.63","sungwonryu1","TCP"
"173","110.76.142.63","110.76.142.63","sungwonryu1","TLSv1.2"
"185","110.76.142.63","110.76.142.63","sungwonryu1","TCP"
"187","110.76.142.63","110.76.142.63","sungwonryu1","TCP"
"189","110.76.142.63","110.76.142.63","sungwonryu1","TLSv1.2"
"191","110.76.142.63","110.76.142.63","sungwonryu1","TCP"
"193","110.76.142.63","110.76.142.63","sungwonryu1","TCP"
"195","110.76.142.63","110.76.142.63","sungwonryu1","TLSv1.2"
"197","110.76.142.63","110.76.142.63","sungwonryu1","TCP"
"199","110.76.142.63","110.76.142.63","sungwonryu1","TCP"
"201","110.76.142.63","110.76.142.63","sungwonryu1","TLSv1.2"
"203","110.76.142.63","110.76.142.63","sungwonryu1","TCP"
"205","110.76.142.63","110.76.142.63","sungwonryu1","TCP"
"207","110.76.142.63","110.76.142.63","sungwonryu1","TLSv1.2"
"209","110.76.142.63","110.76.142.63","sungwonryu1","TCP"
"211","110.76.142.63","110.76.142.63","sungwonryu1","TCP"
"213","110.76.142.63","110.76.142.63","sungwonryu1","TLSv1.2"
"215","110.76.142.63","110.76.142.63","sungwonryu1","TCP"
"217","110.76.142.63","110.76.142.63","sungwonryu1","TCP"
"219","110.76.142.63","110.76.142.63","sungwonryu1","TLSv1.2"
"257","110.76.142.63","110.76.142.63","sungwonryu1","TCP"
"259","110.76.142.63","110.76.142.63","sungwonryu1","TCP"
"261","110.76.142.63","110.76.142.63","sungwonryu1","TLSv1.2"
"263","110.76.142.63","110.76.142.63","sungwonryu1","TCP"
"265","110.76.142.63","110.76.142.63","sungwonryu1","TCP"
