"No.","Host","Ip","dst","Protocol"
"58","kinsight-event.gl.kakao.com","203.217.239.62","sungwonryu1","TCP"
"71","bus.kakao.com","113.29.189.140","sungwonryu1","TCP"
"77","kinsight-event.gl.kakao.com","203.217.239.62","sungwonryu1","HTTP"
"79","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"81","kinsight-event.gl.kakao.com","203.217.239.62","sungwonryu1","TCP"
"93","bus.kakao.com","113.29.189.140","sungwonryu1","TCP"
"95","bus.kakao.com","113.29.189.140","sungwonryu1","TLSv1.2"
"97","bus.kakao.com","113.29.189.140","sungwonryu1","TCP"
"103","bus.kakao.com","113.29.189.140","sungwonryu1","TLSv1.2"
"105","bus.kakao.com","113.29.189.140","sungwonryu1","TLSv1.2"
"113","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"115","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"117","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"119","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"121","kinsight-event.gl.kakao.com","203.217.239.62","sungwonryu1","HTTP"
"127","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"129","bus.kakao.com","113.29.189.140","sungwonryu1","TLSv1.2"
"143","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"145","bus.kakao.com","113.29.189.140","sungwonryu1","TLSv1.2"
"155","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"157","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"159","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"165","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"169","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"181","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"185","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"191","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"207","nrt12s28-in-f3.1e100.net","172.217.174.99","sungwonryu1","TCP"
