"No.","Host","Ip","dst","Protocol"
"27","113.29.189.140","113.29.189.140","sungwonryu1","TLSv1.2"
"62","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"68","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"70","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"72","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"74","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"80","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"90","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"99","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"101","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"103","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"109","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"129","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"135","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"137","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"139","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"141","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"153","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"164","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"170","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"172","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"174","113.29.189.140","113.29.189.140","sungwonryu1","TCP"
"176","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"188","113.29.189.140","113.29.189.140","sungwonryu1","TLSv1.2"
"192","113.29.189.140","113.29.189.140","sungwonryu1","TLSv1.2"
"194","113.29.189.140","113.29.189.140","sungwonryu1","TCP"
"202","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"204","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"206","113.29.189.140","113.29.189.140","sungwonryu1","TCP"
"208","113.29.189.140","113.29.189.140","sungwonryu1","TLSv1.2"
"212","113.29.189.140","113.29.189.140","sungwonryu1","TCP"
"214","113.29.189.140","113.29.189.140","sungwonryu1","TLSv1.2"
"216","113.29.189.140","113.29.189.140","sungwonryu1","TLSv1.2"
"228","113.29.189.140","113.29.189.140","sungwonryu1","TLSv1.2"
"230","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"238","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"240","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"242","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"244","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"246","113.29.189.140","113.29.189.140","sungwonryu1","TLSv1.2"
"260","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"267","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"269","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"271","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"273","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"283","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"285","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
