"No.","Host","Ip","dst","Protocol"
"5","203.217.239.62","203.217.239.62","sungwonryu1","HTTP"
"9","nrt12s28-in-f3.1e100.net","172.217.174.99","sungwonryu1","TCP"
"15","nrt12s28-in-f3.1e100.net","172.217.174.99","sungwonryu1","TCP"
"17","nrt12s28-in-f3.1e100.net","172.217.174.99","sungwonryu1","TLSv1.2"
"21","nrt12s28-in-f3.1e100.net","172.217.174.99","sungwonryu1","TLSv1.2"
"27","nrt12s28-in-f3.1e100.net","172.217.174.99","sungwonryu1","TLSv1.2"
"31","nrt12s28-in-f3.1e100.net","172.217.174.99","sungwonryu1","TLSv1.2"
"35","nrt12s28-in-f3.1e100.net","172.217.174.99","sungwonryu1","TCP"
"44","nrt12s28-in-f3.1e100.net","172.217.174.99","sungwonryu1","TCP"
"69","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"77","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"81","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"85","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"87","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"89","203.217.239.62","203.217.239.62","sungwonryu1","HTTP"
"113","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"115","203.217.239.62","203.217.239.62","sungwonryu1","HTTP"
"121","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"123","203.217.239.62","203.217.239.62","sungwonryu1","TCP"
"131","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"133","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"139","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"145","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"149","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"155","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"157","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"163","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"167","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"173","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"179","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"183","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"185","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"191","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"195","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"199","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"203","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"213","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"219","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"225","nrt12s28-in-f3.1e100.net","172.217.174.99","sungwonryu1","TCP"
"227","nrt12s28-in-f3.1e100.net","172.217.174.99","sungwonryu1","TLSv1.2"
"241","113.29.189.140","113.29.189.140","sungwonryu1","TCP"
"243","113.29.189.140","113.29.189.140","sungwonryu1","TCP"
"255","ec2-35-162-168-37.us-west-2.compute.amazonaws.com","35.162.168.37","sungwonryu1","TCP"
"259","113.29.189.140","113.29.189.140","sungwonryu1","TCP"
"261","113.29.189.140","113.29.189.140","sungwonryu1","TCP"
"263","113.29.189.140","113.29.189.140","sungwonryu1","TLSv1.2"
"265","113.29.189.140","113.29.189.140","sungwonryu1","TCP"
"267","113.29.189.140","113.29.189.140","sungwonryu1","TLSv1.2"
"269","113.29.189.140","113.29.189.140","sungwonryu1","TLSv1.2"
"271","113.29.189.140","113.29.189.140","sungwonryu1","TLSv1.2"
"273","113.29.189.140","113.29.189.140","sungwonryu1","TCP"
"275","113.29.189.140","113.29.189.140","sungwonryu1","TLSv1.2"
"277","113.29.189.140","113.29.189.140","sungwonryu1","TLSv1.2"
"305","113.29.189.140","113.29.189.140","sungwonryu1","TLSv1.2"
"309","113.29.189.140","113.29.189.140","sungwonryu1","TLSv1.2"
"313","113.29.189.140","113.29.189.140","sungwonryu1","TLSv1.2"
"315","113.29.189.140","113.29.189.140","sungwonryu1","TLSv1.2"
"321","113.29.189.140","113.29.189.140","sungwonryu1","TCP"
"323","113.29.189.140","113.29.189.140","sungwonryu1","TLSv1.2"
"327","113.29.189.140","113.29.189.140","sungwonryu1","TLSv1.2"
"329","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"335","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"355","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"361","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"363","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"367","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"371","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"379","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"386","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"388","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"390","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"398","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"400","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"407","203.217.239.62","203.217.239.62","sungwonryu1","TCP"
"412","203.217.239.62","203.217.239.62","sungwonryu1","HTTP"
"420","vmap-config.kakao.com","27.0.236.179","sungwonryu1","TCP"
"426","vmap-config.kakao.com","27.0.236.179","sungwonryu1","TCP"
"428","vmap-config.kakao.com","27.0.236.179","sungwonryu1","HTTP"
"436","vmap-config.kakao.com","27.0.236.179","sungwonryu1","TCP"
"438","vmap-config.kakao.com","27.0.236.179","sungwonryu1","TCP"
"444","vmap-config.kakao.com","27.0.236.179","sungwonryu1","TCP"
"446","vmap-config.kakao.com","27.0.236.179","sungwonryu1","TCP"
"448","vmap-config.kakao.com","27.0.236.179","sungwonryu1","TCP"
"454","vmap-config.kakao.com","27.0.236.179","sungwonryu1","TCP"
"460","vmap-config.kakao.com","27.0.236.179","sungwonryu1","TCP"
"462","vmap-config.kakao.com","27.0.236.179","sungwonryu1","TCP"
"464","vmap-config.kakao.com","27.0.236.179","sungwonryu1","TCP"
"466","vmap-config.kakao.com","27.0.236.179","sungwonryu1","TCP"
"468","vmap-config.kakao.com","27.0.236.179","sungwonryu1","TCP"
"470","vmap-config.kakao.com","27.0.236.179","sungwonryu1","TCP"
"472","vmap-config.kakao.com","27.0.236.179","sungwonryu1","TCP"
"474","vmap-config.kakao.com","27.0.236.179","sungwonryu1","TCP"
"476","vmap-config.kakao.com","27.0.236.179","sungwonryu1","TCP"
"478","vmap-config.kakao.com","27.0.236.179","sungwonryu1","HTTP"
"500","vmap-config.kakao.com","27.0.236.179","sungwonryu1","TCP"
"504","vmap-config.kakao.com","27.0.236.179","sungwonryu1","TCP"
"510","vmap-config.kakao.com","27.0.236.179","sungwonryu1","HTTP"
"518","vmap-config.kakao.com","27.0.236.179","sungwonryu1","TCP"
"520","vmap-config.kakao.com","27.0.236.179","sungwonryu1","TCP"
"526","vmap-config.kakao.com","27.0.236.179","sungwonryu1","TCP"
"528","vmap-config.kakao.com","27.0.236.179","sungwonryu1","TCP"
"530","vmap-config.kakao.com","27.0.236.179","sungwonryu1","TCP"
"532","vmap-config.kakao.com","27.0.236.179","sungwonryu1","TCP"
"534","vmap-config.kakao.com","27.0.236.179","sungwonryu1","HTTP"
"546","vmap-config.kakao.com","27.0.236.179","sungwonryu1","TCP"
"563","map.g.daum.net","27.0.236.166","sungwonryu1","TCP"
"565","map.g.daum.net","27.0.236.166","sungwonryu1","TCP"
"577","113.29.189.140","113.29.189.140","sungwonryu1","TLSv1.2"
"598","113.29.189.140","113.29.189.140","sungwonryu1","TLSv1.2"
"622","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
"628","vectormap-poi.kakao.com","113.29.186.55","sungwonryu1","TCP"
"630","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
"632","vectormap-poi.kakao.com","113.29.186.55","sungwonryu1","TCP"
"634","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
"636","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
"638","map.g.daum.net","27.0.236.166","sungwonryu1","TCP"
"640","map.g.daum.net","27.0.236.166","sungwonryu1","TCP"
"642","map.g.daum.net","27.0.236.166","sungwonryu1","TCP"
"644","map.g.daum.net","27.0.236.166","sungwonryu1","TCP"
"682","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
"684","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
"686","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
"688","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
"690","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
"692","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
"700","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
"704","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
"714","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
"716","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
"718","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
"720","vectormap-poi.kakao.com","113.29.186.55","sungwonryu1","TCP"
"722","vectormap-poi.kakao.com","113.29.186.55","sungwonryu1","HTTP"
"724","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
"726","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
"728","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
"730","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
"732","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
"734","map.g.daum.net","27.0.236.166","sungwonryu1","TCP"
"736","map.g.daum.net","27.0.236.166","sungwonryu1","TCP"
"738","map.g.daum.net","27.0.236.166","sungwonryu1","TCP"
"740","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
"742","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
"744","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
"746","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
"748","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
"750","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
"752","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
"754","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
"756","map.g.daum.net","27.0.237.155","sungwonryu1","HTTP"
"758","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
"760","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
"762","map.g.daum.net","27.0.236.166","sungwonryu1","TCP"
"764","map.g.daum.net","27.0.236.166","sungwonryu1","TCP"
"766","map.g.daum.net","27.0.236.166","sungwonryu1","TCP"
"768","map.g.daum.net","27.0.236.166","sungwonryu1","TCP"
"774","map.g.daum.net","27.0.236.166","sungwonryu1","TCP"
"786","map.g.daum.net","27.0.236.166","sungwonryu1","TCP"
"788","map.g.daum.net","27.0.236.166","sungwonryu1","TCP"
"828","map.g.daum.net","27.0.236.166","sungwonryu1","TCP"
"832","map.g.daum.net","27.0.236.166","sungwonryu1","TCP"
"834","map.g.daum.net","27.0.236.166","sungwonryu1","TCP"
"836","map.g.daum.net","27.0.236.166","sungwonryu1","TCP"
"840","map.g.daum.net","27.0.236.166","sungwonryu1","TCP"
"842","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
"844","map.g.daum.net","27.0.236.166","sungwonryu1","TCP"
"846","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
"848","map.g.daum.net","27.0.237.155","sungwonryu1","TCP"
