"No.","Host","Ip","dst","Protocol"
"1","203.133.166.18","203.133.166.18","sungwonryu1","TCP"
"11","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"13","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"23","211.249.221.10","211.249.221.10","sungwonryu1","TCP"
"25","211.249.221.10","211.249.221.10","sungwonryu1","TCP"
"39","211.249.221.10","211.249.221.10","sungwonryu1","TCP"
"75","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"81","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"83","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"85","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"87","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"99","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"103","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"105","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"113","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"117","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"119","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"125","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"129","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"131","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"133","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"135","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"147","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"151","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"153","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"159","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"161","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"165","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"177","navisdk-api.gl.kakao.com","113.29.187.5","sungwonryu1","TCP"
"183","navisdk-api.gl.kakao.com","113.29.187.5","sungwonryu1","TLSv1.2"
"185","navisdk-api.gl.kakao.com","113.29.187.5","sungwonryu1","TCP"
"187","navisdk-api.gl.kakao.com","113.29.187.5","sungwonryu1","TCP"
"189","navisdk-api.gl.kakao.com","113.29.187.5","sungwonryu1","TLSv1.2"
"191","navisdk-api.gl.kakao.com","113.29.187.5","sungwonryu1","TCP"
"193","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"195","navisdk-api.gl.kakao.com","113.29.187.5","sungwonryu1","TCP"
"199","navisdk-api.gl.kakao.com","113.29.187.5","sungwonryu1","TCP"
"201","navisdk-api.gl.kakao.com","113.29.187.5","sungwonryu1","TCP"
"221","navisdk-api.gl.kakao.com","113.29.187.5","sungwonryu1","TLSv1.2"
"225","navisdk-api.gl.kakao.com","113.29.187.5","sungwonryu1","TCP"
"227","navisdk-api.gl.kakao.com","113.29.187.5","sungwonryu1","TLSv1.2"
"229","navisdk-api.gl.kakao.com","113.29.187.5","sungwonryu1","TLSv1.2"
"235","navisdk-api.gl.kakao.com","113.29.187.5","sungwonryu1","TLSv1.2"
"237","navisdk-api.gl.kakao.com","113.29.187.5","sungwonryu1","TLSv1.2"
"251","nvpf-resource-8u5xvjoz.kgslb.com","211.249.221.11","sungwonryu1","TCP"
"253","navisdk-api.gl.kakao.com","113.29.187.5","sungwonryu1","TLSv1.2"
"255","navisdk-api.gl.kakao.com","113.29.187.5","sungwonryu1","TLSv1.2"
"257","navisdk-api.gl.kakao.com","113.29.187.5","sungwonryu1","TLSv1.2"
"267","nvpf-resource-8u5xvjoz.kgslb.com","211.249.221.11","sungwonryu1","TLSv1.2"
"269","nvpf-resource-8u5xvjoz.kgslb.com","211.249.221.11","sungwonryu1","TCP"
"271","nvpf-resource-8u5xvjoz.kgslb.com","211.249.221.11","sungwonryu1","TCP"
"273","nvpf-resource-8u5xvjoz.kgslb.com","211.249.221.11","sungwonryu1","TCP"
"275","nvpf-resource-8u5xvjoz.kgslb.com","211.249.221.11","sungwonryu1","TLSv1.2"
"289","nvpf-resource-8u5xvjoz.kgslb.com","211.249.221.11","sungwonryu1","TLSv1.2"
"295","nvpf-resource-8u5xvjoz.kgslb.com","211.249.221.11","sungwonryu1","TLSv1.2"
"303","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"331","navi.gl.kakaocdn.net","110.76.142.63","sungwonryu1","TCP"
"333","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"335","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"343","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"345","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"349","kinsight-event.gl.kakao.com","203.217.239.62","sungwonryu1","TCP"
"351","navisdk-api.gl.kakao.com","113.29.187.5","sungwonryu1","TCP"
"353","navisdk-api.gl.kakao.com","113.29.187.5","sungwonryu1","TLSv1.2"
"355","navi.gl.kakaocdn.net","110.76.142.63","sungwonryu1","TLSv1.2"
"357","navi.gl.kakaocdn.net","110.76.142.63","sungwonryu1","TCP"
"359","navi.gl.kakaocdn.net","110.76.142.63","sungwonryu1","TCP"
"361","navi.gl.kakaocdn.net","110.76.142.63","sungwonryu1","TLSv1.2"
"363","navi.gl.kakaocdn.net","110.76.142.63","sungwonryu1","TLSv1.2"
"365","navi.gl.kakaocdn.net","110.76.142.63","sungwonryu1","TCP"
"401","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"403","navisdk-api.gl.kakao.com","113.29.187.5","sungwonryu1","TCP"
"405","navisdk-api.gl.kakao.com","113.29.187.5","sungwonryu1","TLSv1.2"
"407","navisdk-api.gl.kakao.com","113.29.187.5","sungwonryu1","TCP"
"409","kinsight-event.gl.kakao.com","203.217.239.62","sungwonryu1","TCP"
"411","navisdk-api.gl.kakao.com","113.29.187.5","sungwonryu1","TCP"
"413","navisdk-api.gl.kakao.com","113.29.187.5","sungwonryu1","TCP"
"415","navisdk-api.gl.kakao.com","113.29.187.5","sungwonryu1","TLSv1.2"
"417","kinsight-event.gl.kakao.com","203.217.239.62","sungwonryu1","HTTP"
"419","navi.gl.kakaocdn.net","110.76.142.63","sungwonryu1","TLSv1.2"
