"No.","Host","Ip","dst","Protocol"
"6","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"17","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"19","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"21","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"23","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"25","113.29.189.159","113.29.189.159","sungwonryu1","TLSv1.2"
"27","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"47","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"49","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"51","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"53","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"55","113.29.189.159","113.29.189.159","sungwonryu1","TLSv1.2"
"57","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"71","113.29.189.159","113.29.189.159","sungwonryu1","TLSv1.2"
"73","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"77","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"83","211.249.221.10","211.249.221.10","sungwonryu1","TCP"
"85","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"87","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"97","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"99","211.249.221.10","211.249.221.10","sungwonryu1","TCP"
"101","211.249.221.10","211.249.221.10","sungwonryu1","TLSv1.2"
"103","211.249.221.10","211.249.221.10","sungwonryu1","TCP"
"105","211.249.221.10","211.249.221.10","sungwonryu1","TCP"
"107","211.249.221.10","211.249.221.10","sungwonryu1","TLSv1.2"
"119","211.249.221.10","211.249.221.10","sungwonryu1","TLSv1.2"
"121","211.249.221.10","211.249.221.10","sungwonryu1","TLSv1.2"
"127","211.249.221.10","211.249.221.10","sungwonryu1","TLSv1.2"
"131","211.249.221.10","211.249.221.10","sungwonryu1","TCP"
"161","211.249.221.10","211.249.221.10","sungwonryu1","TCP"
