"No.","Host","Ip","dst","Protocol"
"47","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"49","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"51","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"53","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"55","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"59","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"61","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"63","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"65","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"71","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"73","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"77","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"79","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"81","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"83","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"89","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"91","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"93","27.0.237.13","27.0.237.13","sungwonryu1","SSLv2"
"95","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"97","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"103","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"105","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"107","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"109","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"111","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"113","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"115","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"119","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"121","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"123","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"125","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"127","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"129","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"131","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"133","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"137","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"139","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"143","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"145","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"147","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"149","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"151","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"155","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"157","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"159","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"161","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"165","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"167","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"169","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"177","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"179","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"181","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"185","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"187","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"191","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"193","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"195","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"197","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"199","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"207","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"209","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"211","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"213","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
"215","27.0.237.13","27.0.237.13","sungwonryu1","TCP"
