"No.","Host","Ip","dst","Protocol"
"15","crashlytics.l.google.com","216.58.197.163","sungwonryu1","TCP"
"34","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"37","kinsight-event.gl.kakao.com","203.217.239.62","sungwonryu1","TCP"
"51","crashlytics.l.google.com","216.58.197.163","sungwonryu1","TCP"
"53","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"55","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"57","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"59","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"61","kinsight-event.gl.kakao.com","203.217.239.62","sungwonryu1","HTTP"
"63","crashlytics.l.google.com","216.58.197.163","sungwonryu1","TLSv1.2"
"65","crashlytics.l.google.com","216.58.197.163","sungwonryu1","TCP"
"67","crashlytics.l.google.com","216.58.197.163","sungwonryu1","TLSv1.2"
"69","kinsight-event.gl.kakao.com","203.217.239.62","sungwonryu1","TCP"
"75","android.l.google.com","172.217.161.78","sungwonryu1","TCP"
"77","crashlytics.l.google.com","216.58.197.163","sungwonryu1","TCP"
"79","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"81","kinsight-event.gl.kakao.com","203.217.239.62","sungwonryu1","TCP"
"83","android.l.google.com","172.217.161.78","sungwonryu1","TCP"
"127","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"129","kinsight-event.gl.kakao.com","203.217.239.62","sungwonryu1","HTTP"
"137","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TCP"
"145","kinsight-event.gl.kakao.com","203.217.239.62","sungwonryu1","TCP"
"147","crashlytics.l.google.com","216.58.197.163","sungwonryu1","TLSv1.2"
"151","android.l.google.com","172.217.161.78","sungwonryu1","TCP"
"153","app.map.kakao.com","113.29.189.159","sungwonryu1","TCP"
"159","app.map.kakao.com","113.29.189.159","sungwonryu1","TCP"
"161","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"163","stat.tiara.g.daum.net","211.231.101.175","sungwonryu1","TLSv1.2"
"176","android.l.google.com","172.217.161.78","sungwonryu1","TLSv1.3"
"180","android.l.google.com","172.217.161.78","sungwonryu1","TCP"
