"No.","Host","Ip","dst","Protocol"
"3","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"9","113.29.189.159","113.29.189.159","sungwonryu1","TLSv1.2"
"11","113.29.189.159","113.29.189.159","sungwonryu1","TLSv1.2"
"19","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"23","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"25","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"27","113.29.189.159","113.29.189.159","sungwonryu1","TLSv1.2"
"37","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"39","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"45","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"47","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"49","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"51","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"53","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"57","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"59","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"63","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"65","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"67","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"69","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"71","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"73","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"75","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"77","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"79","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"81","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"83","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"85","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"87","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"89","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"97","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"99","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"113","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"115","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"117","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"125","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"127","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"129","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"131","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"133","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"135","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","HTTP"
"137","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"195","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"205","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","HTTP"
"207","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"215","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"217","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"225","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"231","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"233","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"235","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"237","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"239","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"249","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"251","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"253","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"255","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"257","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"259","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"263","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","HTTP"
"267","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"271","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"273","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"275","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"277","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"279","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"285","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"287","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"291","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"293","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"305","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"319","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"323","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"325","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"327","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"329","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"331","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"333","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"335","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"337","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"339","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
"341","hklkakao.cdngs.net","183.110.194.109","sungwonryu1","TCP"
