"No.","Host","Ip","dst","Protocol"
"29","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"35","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"37","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"39","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"41","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"43","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"45","113.29.186.55","113.29.186.55","sungwonryu1","TCP"
"47","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"49","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"51","113.29.186.55","113.29.186.55","sungwonryu1","TCP"
"89","113.29.189.159","113.29.189.159","sungwonryu1","TLSv1.2"
"91","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"97","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"99","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"101","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"103","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"105","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"107","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"128","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"130","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"132","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"134","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"136","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"138","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"140","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"142","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"154","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"156","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"158","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"160","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"162","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"180","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"184","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"188","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"193","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"195","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"197","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"199","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"201","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"203","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"205","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"209","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"211","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"213","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"221","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"223","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"225","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"237","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"239","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"241","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"245","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"249","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"253","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"255","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"257","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"259","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"261","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"263","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"265","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"267","map.g.daum.net","203.133.166.18","sungwonryu1","HTTP"
"269","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"271","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"275","map.g.daum.net","203.133.166.18","sungwonryu1","HTTP"
"277","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"283","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"291","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"293","map.g.daum.net","203.133.166.18","sungwonryu1","HTTP"
"295","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"297","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"309","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"311","map.g.daum.net","203.133.166.18","sungwonryu1","HTTP"
"313","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"315","113.29.186.55","113.29.186.55","sungwonryu1","HTTP"
"317","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"319","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"321","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"323","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"325","113.29.186.55","113.29.186.55","sungwonryu1","HTTP"
"333","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"335","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
"337","map.g.daum.net","203.133.166.18","sungwonryu1","TCP"
