"No.","Host","Ip","dst","Protocol"
"1","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"5","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"7","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"11","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"15","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"19","113.29.187.5","113.29.187.5","sungwonryu1","TLSv1.2"
"21","113.29.187.5","113.29.187.5","sungwonryu1","TCP"
"23","113.29.187.5","113.29.187.5","sungwonryu1","TLSv1.2"
"25","113.29.187.5","113.29.187.5","sungwonryu1","TCP"
"47","113.29.187.5","113.29.187.5","sungwonryu1","TCP"
"53","113.29.187.5","113.29.187.5","sungwonryu1","TCP"
"61","113.29.187.5","113.29.187.5","sungwonryu1","TCP"
"63","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"67","113.29.187.5","113.29.187.5","sungwonryu1","TCP"
"69","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"89","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"91","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"101","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"107","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"113","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"115","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"117","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"119","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"131","113.29.189.159","113.29.189.159","sungwonryu1","TLSv1.2"
"133","113.29.189.159","113.29.189.159","sungwonryu1","TLSv1.2"
"135","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"145","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"147","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"153","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"155","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"161","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"163","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"167","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"169","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"171","113.29.189.159","113.29.189.159","sungwonryu1","TLSv1.2"
"175","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"183","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"187","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
