"No.","Host","Ip","dst","Protocol"
"1","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"3","183.111.43.29","183.111.43.29","sungwonryu1","TLSv1.2"
"5","183.111.43.29","183.111.43.29","sungwonryu1","TCP"
"13","183.111.43.29","183.111.43.29","sungwonryu1","TCP"
"17","113.29.189.159","113.29.189.159","sungwonryu1","TLSv1.2"
"19","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"27","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TLSv1.2"
"29","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TLSv1.2"
"37","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"39","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"41","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"95","113.29.189.159","113.29.189.159","sungwonryu1","TLSv1.2"
"97","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"105","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TLSv1.2"
"107","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TLSv1.2"
"115","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"119","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"121","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"131","113.29.189.159","113.29.189.159","sungwonryu1","TLSv1.2"
"135","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"141","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TLSv1.2"
"143","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TLSv1.2"
"151","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"155","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"157","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"173","113.29.189.159","113.29.189.159","sungwonryu1","TLSv1.2"
"175","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"187","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TCP"
"189","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TCP"
"191","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TCP"
"193","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TCP"
"203","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TCP"
"205","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TLSv1.2"
"207","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TCP"
"209","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TCP"
"211","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TCP"
"213","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TLSv1.2"
"227","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TLSv1.2"
"229","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TLSv1.2"
"235","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TLSv1.2"
"239","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TLSv1.2"
"241","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TLSv1.2"
"251","211.249.216.5","211.249.216.5","sungwonryu1","TCP"
"255","211.249.216.5","211.249.216.5","sungwonryu1","TCP"
"261","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TCP"
"263","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"265","211.249.216.5","211.249.216.5","sungwonryu1","TCP"
"267","211.249.216.5","211.249.216.5","sungwonryu1","TCP"
"269","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"271","211.249.216.5","211.249.216.5","sungwonryu1","TCP"
"285","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"287","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"291","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"297","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"299","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"301","211.249.216.5","211.249.216.5","sungwonryu1","TCP"
"303","211.249.216.5","211.249.216.5","sungwonryu1","TCP"
"309","113.29.189.159","113.29.189.159","sungwonryu1","TLSv1.2"
"311","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"319","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TCP"
"321","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TLSv1.2"
"323","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TLSv1.2"
"329","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"331","211.249.216.5","211.249.216.5","sungwonryu1","TCP"
"339","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"341","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"355","tj-in-f188.1e100.net","64.233.187.188","sungwonryu1","TLSv1.2"
"359","tj-in-f188.1e100.net","64.233.187.188","sungwonryu1","TCP"
"367","113.29.189.159","113.29.189.159","sungwonryu1","TLSv1.2"
"369","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"377","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TLSv1.2"
"379","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TLSv1.2"
"385","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"387","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"389","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"405","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"410","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"414","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"420","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
"424","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"428","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
"432","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
"440","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
"444","113.29.189.159","113.29.189.159","sungwonryu1","TLSv1.2"
"446","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"454","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
"456","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
"462","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TLSv1.2"
"464","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TLSv1.2"
"468","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"470","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"474","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"480","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"484","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"486","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"502","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"504","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"511","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"516","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"530","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"536","113.29.189.159","113.29.189.159","sungwonryu1","TLSv1.2"
"538","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"554","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TCP"
"556","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TCP"
"558","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TCP"
"560","211.249.216.5","211.249.216.5","sungwonryu1","TCP"
"566","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TCP"
"574","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TCP"
"576","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TLSv1.2"
"578","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TCP"
"580","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TCP"
"582","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TCP"
"584","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TLSv1.2"
"598","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TLSv1.2"
"600","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TLSv1.2"
"606","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TLSv1.2"
"610","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TLSv1.2"
"612","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TLSv1.2"
"618","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TCP"
"620","211.249.216.5","211.249.216.5","sungwonryu1","TCP"
"626","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"628","211.249.216.5","211.249.216.5","sungwonryu1","TCP"
"630","211.249.216.5","211.249.216.5","sungwonryu1","TCP"
"632","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"634","211.249.216.5","211.249.216.5","sungwonryu1","TCP"
"648","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"650","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"656","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"660","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"662","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"664","211.249.216.5","211.249.216.5","sungwonryu1","TCP"
"666","211.249.216.5","211.249.216.5","sungwonryu1","TCP"
"672","211.249.216.5","211.249.216.5","sungwonryu1","TCP"
"676","113.29.189.159","113.29.189.159","sungwonryu1","TLSv1.2"
"678","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"686","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TCP"
"688","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TLSv1.2"
"690","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TLSv1.2"
"696","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"698","211.249.216.5","211.249.216.5","sungwonryu1","TCP"
"704","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"706","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"714","113.29.189.159","113.29.189.159","sungwonryu1","TLSv1.2"
"718","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"726","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TLSv1.2"
"728","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TLSv1.2"
"734","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"738","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"740","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"748","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"760","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"762","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"768","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"770","113.29.189.159","113.29.189.159","sungwonryu1","TCP"
"772","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TCP"
"774","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TCP"
"776","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"790","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TCP"
"794","app-route.map.kakao.com","211.249.221.10","sungwonryu1","TCP"
"800","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"802","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"804","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"814","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"820","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"826","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
"830","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"832","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
"834","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
"844","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
"848","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
"850","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
"858","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"862","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"864","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"870","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"874","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
"876","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"878","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
"880","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
"892","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
"898","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"900","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
"904","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
"906","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
"908","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"920","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"922","211.249.216.5","211.249.216.5","sungwonryu1","TLSv1.2"
"928","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"944","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"948","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"956","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"962","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"964","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"966","113.29.186.55","113.29.186.55","sungwonryu1","TCP"
"968","113.29.186.55","113.29.186.55","sungwonryu1","TCP"
"986","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
"988","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"990","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
"992","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
"994","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"996","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"998","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1000","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1002","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1004","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1016","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1018","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1020","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1022","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1024","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1026","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1028","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1030","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1032","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1064","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1066","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1068","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1070","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1072","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1076","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1078","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1082","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1084","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1086","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1088","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1094","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1096","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1102","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1110","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1122","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1126","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1128","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1134","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1138","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1140","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1142","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1146","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1148","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1150","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1158","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1160","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1168","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1170","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1174","113.29.186.55","113.29.186.55","sungwonryu1","HTTP"
"1178","113.29.186.55","113.29.186.55","sungwonryu1","HTTP"
"1184","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1186","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1188","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1196","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1200","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
"1206","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1208","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1210","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1216","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1222","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1228","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1230","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1234","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1236","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1238","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1244","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1250","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1252","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1270","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1272","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1274","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1276","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1278","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1290","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
"1292","27.0.237.155","27.0.237.155","sungwonryu1","TCP"
