"No.","Host","Ip","dst","Protocol"
"2","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"4","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"6","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"18","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"22","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"24","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"26","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"28","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"30","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"32","114.108.156.18","114.108.156.18","sungwonryu1","SSLv2"
"34","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"36","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"44","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"46","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"48","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"50","114.108.156.18","114.108.156.18","sungwonryu1","SSLv2"
"52","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"54","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"56","114.108.156.18","114.108.156.18","sungwonryu1","SSLv2"
"58","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"60","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"64","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"66","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"68","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"70","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"72","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"74","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"80","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"82","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"84","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"86","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"88","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"90","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"92","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"94","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"100","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"102","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"104","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"108","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"110","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
"112","114.108.156.18","114.108.156.18","sungwonryu1","TCP"
