"No.","Host","Ip","dst","Protocol"
"91","gw-tv.gl.kakao.com","121.53.216.28","sungwonryu1","TCP"
"93","play.gl.kakao.com","211.231.101.168","sungwonryu1","TCP"
"108","crashlytics.l.google.com","172.217.174.99","sungwonryu1","TCP"
"118","kinsight-event.gl.kakao.com","203.217.239.62","sungwonryu1","TCP"
"120","gw-tv.gl.kakao.com","121.53.216.28","sungwonryu1","TLSv1.2"
"122","gw-tv.gl.kakao.com","121.53.216.28","sungwonryu1","TCP"
"124","gw-tv.gl.kakao.com","121.53.216.28","sungwonryu1","TLSv1.2"
"126","gw-tv.gl.kakao.com","121.53.216.28","sungwonryu1","TLSv1.2"
"128","play.gl.kakao.com","211.231.101.168","sungwonryu1","HTTP"
"130","gw-tv.gl.kakao.com","121.53.216.28","sungwonryu1","TCP"
"132","play.gl.kakao.com","211.231.101.168","sungwonryu1","TCP"
"140","crashlytics.l.google.com","172.217.174.99","sungwonryu1","TCP"
"171","crashlytics.l.google.com","172.217.174.99","sungwonryu1","TLSv1.2"
"173","crashlytics.l.google.com","172.217.174.99","sungwonryu1","TCP"
"175","crashlytics.l.google.com","172.217.174.99","sungwonryu1","TLSv1.2"
"189","gw-tv.gl.kakao.com","121.53.216.28","sungwonryu1","TLSv1.2"
"191","gw-tv.gl.kakao.com","121.53.216.28","sungwonryu1","TLSv1.2"
"193","play.gl.kakao.com","211.231.101.168","sungwonryu1","TCP"
"195","kinsight-event.gl.kakao.com","203.217.239.62","sungwonryu1","HTTP"
"206","kinsight-event.gl.kakao.com","203.217.239.62","sungwonryu1","TCP"
"208","play.gl.kakao.com","211.231.101.168","sungwonryu1","TCP"
"214","play.gl.kakao.com","211.231.101.168","sungwonryu1","TCP"
"220","gw-tv.gl.kakao.com","121.53.216.28","sungwonryu1","TLSv1.2"
"222","get.daum.net","203.133.166.17","sungwonryu1","TCP"
"230","gw-tv.gl.kakao.com","121.53.216.28","sungwonryu1","TLSv1.2"
"232","gw-tv.gl.kakao.com","121.53.216.28","sungwonryu1","TLSv1.2"
"234","gw-tv.gl.kakao.com","121.53.216.28","sungwonryu1","TLSv1.2"
"236","crashlytics.l.google.com","172.217.174.99","sungwonryu1","TLSv1.2"
"242","get.daum.net","203.133.166.17","sungwonryu1","TCP"
"244","get.daum.net","203.133.166.17","sungwonryu1","TCP"
"246","get.daum.net","203.133.166.17","sungwonryu1","HTTP"
"261","get.daum.net","203.133.166.17","sungwonryu1","TCP"
"265","gw-tv.gl.kakao.com","121.53.216.28","sungwonryu1","TCP"
"269","get.daum.net","203.133.166.17","sungwonryu1","TCP"
"276","crashlytics.l.google.com","172.217.174.99","sungwonryu1","TCP"
"280","gw-tv.gl.kakao.com","121.53.216.28","sungwonryu1","TCP"
"282","crashlytics.l.google.com","172.217.174.99","sungwonryu1","TLSv1.2"
"284","crashlytics.l.google.com","172.217.174.99","sungwonryu1","TLSv1.2"
"286","crashlytics.l.google.com","172.217.174.99","sungwonryu1","TLSv1.2"
"288","crashlytics.l.google.com","172.217.174.99","sungwonryu1","TLSv1.2"
"290","gw-tv.gl.kakao.com","121.53.216.28","sungwonryu1","TLSv1.2"
"292","gw-tv.gl.kakao.com","121.53.216.28","sungwonryu1","TLSv1.2"
"305","npp.play.gl.kakao.com","113.29.189.202","sungwonryu1","TCP"
"318","npp.play.gl.kakao.com","113.29.189.202","sungwonryu1","TCP"
"320","npp.play.gl.kakao.com","113.29.189.202","sungwonryu1","TCP"
"326","npp.play.gl.kakao.com","113.29.189.202","sungwonryu1","TCP"
"346","gw-tv.gl.kakao.com","121.53.216.28","sungwonryu1","TCP"
"348","npp.play.gl.kakao.com","113.29.189.202","sungwonryu1","TCP"
"350","app.tv.kakao.com","211.231.99.222","sungwonryu1","TCP"
"352","app.tv.kakao.com","211.231.99.222","sungwonryu1","TCP"
"354","app.tv.kakao.com","211.231.99.222","sungwonryu1","TCP"
"356","npp.play.gl.kakao.com","113.29.189.202","sungwonryu1","TCP"
"358","gw-tv.gl.kakao.com","121.53.216.28","sungwonryu1","TLSv1.2"
"360","events-endpoint-j-660082941.us-east-1.elb.amazonaws.com","184.73.227.158","sungwonryu1","TCP"
"389","npp.play.gl.kakao.com","113.29.189.202","sungwonryu1","TCP"
"396","npp.play.gl.kakao.com","113.29.189.202","sungwonryu1","TCP"
"400","npp.play.gl.kakao.com","113.29.189.202","sungwonryu1","TCP"
