"No.","Host","Ip","dst","Protocol"
"6","113.29.183.13","113.29.183.13","sungwonryu1","TCP"
"12","113.29.183.13","113.29.183.13","sungwonryu1","TCP"
"18","113.29.183.13","113.29.183.13","sungwonryu1","TCP"
"20","113.29.183.13","113.29.183.13","sungwonryu1","TCP"
"22","113.29.183.13","113.29.183.13","sungwonryu1","TCP"
"24","113.29.183.13","113.29.183.13","sungwonryu1","TLSv1.2"
"36","113.29.183.13","113.29.183.13","sungwonryu1","TCP"
"38","113.29.183.13","113.29.183.13","sungwonryu1","TCP"
"40","113.29.183.13","113.29.183.13","sungwonryu1","TCP"
"42","113.29.183.13","113.29.183.13","sungwonryu1","TLSv1.2"
"54","113.29.183.13","113.29.183.13","sungwonryu1","TLSv1.2"
"56","113.29.183.13","113.29.183.13","sungwonryu1","TLSv1.2"
"58","113.29.183.13","113.29.183.13","sungwonryu1","TCP"
"66","113.29.183.13","113.29.183.13","sungwonryu1","TLSv1.2"
"68","113.29.183.13","113.29.183.13","sungwonryu1","TLSv1.2"
"70","113.29.183.13","113.29.183.13","sungwonryu1","TCP"
"76","113.29.183.13","113.29.183.13","sungwonryu1","TCP"
"78","113.29.183.13","113.29.183.13","sungwonryu1","TLSv1.2"
"80","113.29.183.13","113.29.183.13","sungwonryu1","TLSv1.2"
"82","113.29.183.13","113.29.183.13","sungwonryu1","TLSv1.2"
"84","113.29.183.13","113.29.183.13","sungwonryu1","TCP"
"92","113.29.183.13","113.29.183.13","sungwonryu1","TCP"
"96","113.29.183.13","113.29.183.13","sungwonryu1","TCP"
"98","113.29.183.13","113.29.183.13","sungwonryu1","TCP"
"100","113.29.183.13","113.29.183.13","sungwonryu1","TLSv1.2"
"102","113.29.183.13","113.29.183.13","sungwonryu1","TLSv1.2"
"104","113.29.183.13","113.29.183.13","sungwonryu1","TLSv1.2"
"106","113.29.183.13","113.29.183.13","sungwonryu1","TLSv1.2"
"116","113.29.183.13","113.29.183.13","sungwonryu1","TCP"
