"No.","Host","Ip","dst","Protocol"
"1","27.0.237.16","27.0.237.16","sungwonryu1","TLSv1.2"
"3","27.0.237.16","27.0.237.16","sungwonryu1","TCP"
"5","27.0.237.16","27.0.237.16","sungwonryu1","TCP"
"13","27.0.237.16","27.0.237.16","sungwonryu1","TCP"
"15","27.0.237.16","27.0.237.16","sungwonryu1","TLSv1.2"
"17","27.0.237.16","27.0.237.16","sungwonryu1","TCP"
"33","27.0.237.16","27.0.237.16","sungwonryu1","TLSv1.2"
"35","27.0.237.16","27.0.237.16","sungwonryu1","TCP"
"47","27.0.237.16","27.0.237.16","sungwonryu1","TLSv1.2"
"49","27.0.237.16","27.0.237.16","sungwonryu1","TCP"
"57","27.0.237.16","27.0.237.16","sungwonryu1","TCP"
"59","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"61","27.0.237.16","27.0.237.16","sungwonryu1","TCP"
"69","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"77","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"79","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"81","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"83","pay-api-gw.gl.kakao.com","113.29.183.13","sungwonryu1","TCP"
"85","pay-api-gw.gl.kakao.com","113.29.183.13","sungwonryu1","TCP"
"87","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"89","27.0.237.16","27.0.237.16","sungwonryu1","TLSv1.2"
"91","27.0.237.16","27.0.237.16","sungwonryu1","TCP"
"113","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"119","pay-api-gw.gl.kakao.com","113.29.183.13","sungwonryu1","TLSv1.2"
"121","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"123","pay-api-gw.gl.kakao.com","113.29.183.13","sungwonryu1","TLSv1.2"
"135","pay-api-gw.gl.kakao.com","113.29.183.13","sungwonryu1","TLSv1.2"
"137","pay-api-gw.gl.kakao.com","113.29.183.13","sungwonryu1","TLSv1.2"
"139","pay-api-gw.gl.kakao.com","113.29.183.13","sungwonryu1","TCP"
"149","pay-api-gw.gl.kakao.com","113.29.183.13","sungwonryu1","TCP"
"151","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"153","211.231.101.175","211.231.101.175","sungwonryu1","TLSv1.2"
"161","pay-api-gw.gl.kakao.com","113.29.183.13","sungwonryu1","TCP"
"167","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"169","211.231.101.175","211.231.101.175","sungwonryu1","TCP"
"171","pay-api-gw.gl.kakao.com","113.29.183.13","sungwonryu1","TCP"
"173","pay-api-gw.gl.kakao.com","113.29.183.13","sungwonryu1","TCP"
"179","pay-api-gw.gl.kakao.com","113.29.183.13","sungwonryu1","TLSv1.2"
"181","pay-api-gw.gl.kakao.com","113.29.183.13","sungwonryu1","TLSv1.2"
"183","pay-api-gw.gl.kakao.com","113.29.183.13","sungwonryu1","TLSv1.2"
