"No.","Host","Ip","dst","Protocol"
"12","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"23","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
"25","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"27","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
"29","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
"31","fintastic.gl.kakao.com","113.29.183.29","sungwonryu1","TCP"
"33","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"53","fintastic.gl.kakao.com","113.29.183.29","sungwonryu1","TCP"
"59","fintastic.gl.kakao.com","113.29.183.29","sungwonryu1","TCP"
"61","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
"63","fintastic.gl.kakao.com","113.29.183.29","sungwonryu1","TCP"
"65","fintastic.gl.kakao.com","113.29.183.29","sungwonryu1","TCP"
"67","fintastic.gl.kakao.com","113.29.183.29","sungwonryu1","TLSv1.2"
"69","fintastic.gl.kakao.com","113.29.183.29","sungwonryu1","TCP"
"71","fintastic.gl.kakao.com","113.29.183.29","sungwonryu1","TCP"
"73","fintastic.gl.kakao.com","113.29.183.29","sungwonryu1","TCP"
"75","fintastic.gl.kakao.com","113.29.183.29","sungwonryu1","TLSv1.2"
"83","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
"85","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
"91","fintastic.gl.kakao.com","113.29.183.29","sungwonryu1","TCP"
"93","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"123","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"125","fintastic.gl.kakao.com","113.29.183.29","sungwonryu1","TLSv1.2"
"127","fintastic.gl.kakao.com","113.29.183.29","sungwonryu1","TLSv1.2"
"131","fintastic.gl.kakao.com","113.29.183.29","sungwonryu1","TCP"
"133","fintastic.gl.kakao.com","113.29.183.29","sungwonryu1","TCP"
"139","fintastic.gl.kakao.com","113.29.183.29","sungwonryu1","TLSv1.2"
"141","fintastic.gl.kakao.com","113.29.183.29","sungwonryu1","TLSv1.2"
"143","fintastic.gl.kakao.com","113.29.183.29","sungwonryu1","TCP"
"145","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"147","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"151","fintastic.gl.kakao.com","113.29.183.29","sungwonryu1","TLSv1.2"
"153","fintastic.gl.kakao.com","113.29.183.29","sungwonryu1","TCP"
"155","fintastic.gl.kakao.com","113.29.183.29","sungwonryu1","TLSv1.2"
"157","fintastic.gl.kakao.com","113.29.183.29","sungwonryu1","TLSv1.2"
"159","fintastic.gl.kakao.com","113.29.183.29","sungwonryu1","TCP"
"172","fintastic.gl.kakao.com","113.29.183.29","sungwonryu1","TCP"
"174","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"185","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
