"No.","Host","Ip","dst","Protocol"
"3","110.76.141.146","110.76.141.146","sungwonryu1.local","TCP"
"15","110.76.141.146","110.76.141.146","sungwonryu1.local","TLSv1.2"
"21","110.76.141.146","110.76.141.146","sungwonryu1.local","TCP"
"23","110.76.141.146","110.76.141.146","sungwonryu1.local","TLSv1.2"
"25","110.76.141.146","110.76.141.146","sungwonryu1.local","TLSv1.2"
"35","pay-api-gw.gl.kakao.com","210.103.253.208","sungwonryu1.local","TCP"
"41","110.76.141.146","110.76.141.146","sungwonryu1.local","TLSv1.2"
"45","pay-api-gw.gl.kakao.com","210.103.253.208","sungwonryu1.local","TCP"
"49","pay-api-gw.gl.kakao.com","210.103.253.208","sungwonryu1.local","TCP"
"51","pay-api-gw.gl.kakao.com","210.103.253.208","sungwonryu1.local","TCP"
"57","pay-api-gw.gl.kakao.com","210.103.253.208","sungwonryu1.local","TLSv1.2"
"63","110.76.141.146","110.76.141.146","sungwonryu1.local","TLSv1.2"
"65","110.76.141.146","110.76.141.146","sungwonryu1.local","TLSv1.2"
"71","pay-api-gw.gl.kakao.com","210.103.253.208","sungwonryu1.local","TCP"
"75","pay-api-gw.gl.kakao.com","210.103.253.208","sungwonryu1.local","TLSv1.2"
"77","pay-api-gw.gl.kakao.com","210.103.253.208","sungwonryu1.local","TLSv1.2"
"79","110.76.141.146","110.76.141.146","sungwonryu1.local","TLSv1.2"
"87","110.76.141.146","110.76.141.146","sungwonryu1.local","TCP"
"89","110.76.141.146","110.76.141.146","sungwonryu1.local","TCP"
"95","pay-api-gw.gl.kakao.com","210.103.253.208","sungwonryu1.local","TCP"
"97","pay-api-gw.gl.kakao.com","210.103.253.208","sungwonryu1.local","TLSv1.2"
"99","pay-api-gw.gl.kakao.com","210.103.253.208","sungwonryu1.local","TLSv1.2"
"101","pay-api-gw.gl.kakao.com","210.103.253.208","sungwonryu1.local","TLSv1.2"
"103","110.76.141.146","110.76.141.146","sungwonryu1.local","TLSv1.2"
"105","110.76.141.146","110.76.141.146","sungwonryu1.local","TCP"
"107","110.76.141.146","110.76.141.146","sungwonryu1.local","TLSv1.2"
"109","110.76.141.146","110.76.141.146","sungwonryu1.local","TLSv1.2"
"129","pay-api-gw.gl.kakao.com","210.103.253.208","sungwonryu1.local","TCP"
"131","110.76.141.146","110.76.141.146","sungwonryu1.local","TLSv1.2"
"135","pay-api-gw.gl.kakao.com","210.103.253.208","sungwonryu1.local","TCP"
"141","pay-api-gw.gl.kakao.com","210.103.253.208","sungwonryu1.local","TLSv1.2"
"143","pay-api-gw.gl.kakao.com","210.103.253.208","sungwonryu1.local","TLSv1.2"
"149","110.76.141.146","110.76.141.146","sungwonryu1.local","TLSv1.2"
"151","110.76.141.146","110.76.141.146","sungwonryu1.local","TLSv1.2"
"159","pay-api-gw.gl.kakao.com","210.103.253.208","sungwonryu1.local","TCP"
"163","110.76.141.146","110.76.141.146","sungwonryu1.local","TCP"
"165","pay-api-gw.gl.kakao.com","210.103.253.208","sungwonryu1.local","TCP"
"171","pay-api-gw.gl.kakao.com","210.103.253.208","sungwonryu1.local","TCP"
"173","110.76.141.146","110.76.141.146","sungwonryu1.local","TCP"
"179","pay-api-gw.gl.kakao.com","210.103.253.208","sungwonryu1.local","TLSv1.2"
"181","pay-api-gw.gl.kakao.com","210.103.253.208","sungwonryu1.local","TLSv1.2"
"185","pay-api-gw.gl.kakao.com","210.103.253.208","sungwonryu1.local","TLSv1.2"
"191","110.76.141.146","110.76.141.146","sungwonryu1.local","TLSv1.2"
"193","110.76.141.146","110.76.141.146","sungwonryu1.local","TCP"
"195","110.76.141.146","110.76.141.146","sungwonryu1.local","TLSv1.2"
"203","110.76.141.146","110.76.141.146","sungwonryu1.local","TLSv1.2"
"211","pay-api-gw.gl.kakao.com","210.103.253.208","sungwonryu1.local","TCP"
"225","110.76.141.146","110.76.141.146","sungwonryu1.local","TLSv1.2"
"243","pay-api-gw.gl.kakao.com","210.103.253.208","sungwonryu1.local","TCP"
"249","110.76.141.146","110.76.141.146","sungwonryu1.local","TLSv1.2"
