"No.","Host","Ip","dst","Protocol"
"5","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"7","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"9","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"11","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"13","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"15","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"17","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"19","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"21","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"23","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"25","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"27","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"29","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"31","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"33","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"35","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"37","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"39","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"41","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"43","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"45","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"47","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"49","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"51","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"53","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"55","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"57","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"59","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"61","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"63","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"65","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"67","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"69","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"71","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"73","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"75","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"77","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"79","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"81","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"83","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"85","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"87","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"89","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"91","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"93","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"95","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"97","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"99","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"101","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"103","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"105","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"107","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"109","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"111","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"113","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"123","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"125","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"127","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"181","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"195","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"197","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"199","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"201","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"203","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"211","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"213","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"217","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"221","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"223","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"229","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"231","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"233","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"235","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"237","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"239","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"247","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"249","182.162.61.205","182.162.61.205","sungwonryu1","TLSv1.2"
"253","210.103.253.221","210.103.253.221","sungwonryu1","TCP"
"264","210.103.253.221","210.103.253.221","sungwonryu1","TCP"
"266","210.103.253.221","210.103.253.221","sungwonryu1","TLSv1.2"
"268","210.103.253.221","210.103.253.221","sungwonryu1","TLSv1.2"
"293","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"299","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"301","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"311","210.103.253.221","210.103.253.221","sungwonryu1","TLSv1.2"
"313","210.103.253.221","210.103.253.221","sungwonryu1","TLSv1.2"
"315","210.103.253.221","210.103.253.221","sungwonryu1","TCP"
"317","210.103.253.221","210.103.253.221","sungwonryu1","TCP"
"319","210.103.253.221","210.103.253.221","sungwonryu1","TCP"
"321","182.162.61.205","182.162.61.205","sungwonryu1","TCP"
"323","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
"325","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TCP"
"327","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
"329","stat.tiara.g.daum.net","110.76.141.146","sungwonryu1","TLSv1.2"
