"No.","Host","Ip","dst","Protocol"
"23","14.32.69.7","14.32.69.7","sungwonryu1","TCP"
"25","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"27","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"29","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"31","14.32.69.19","14.32.69.19","sungwonryu1","TCP"
"33","14.32.69.19","14.32.69.19","sungwonryu1","TCP"
"35","183.110.238.171","183.110.238.171","sungwonryu1","TCP"
"51","nrt12s02-in-f163.1e100.net","216.58.197.163","sungwonryu1","TCP"
"70","ec2-54-235-141-116.compute-1.amazonaws.com","54.235.141.116","sungwonryu1","TCP"
"72","nrt12s02-in-f163.1e100.net","216.58.197.163","sungwonryu1","TCP"
"74","175.196.94.7","175.196.94.7","sungwonryu1","TLSv1.2"
"76","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"78","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"80","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"82","175.196.94.7","175.196.94.7","sungwonryu1","TLSv1.2"
"84","175.196.94.7","175.196.94.7","sungwonryu1","TLSv1.2"
"86","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"88","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"90","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"92","175.196.94.7","175.196.94.7","sungwonryu1","TLSv1.2"
"94","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"96","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"98","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"126","175.196.94.7","175.196.94.7","sungwonryu1","TLSv1.2"
"128","14.32.69.19","14.32.69.19","sungwonryu1","TCP"
"130","14.32.69.19","14.32.69.19","sungwonryu1","TCP"
"154","175.196.94.7","175.196.94.7","sungwonryu1","TLSv1.2"
"178","183.110.238.171","183.110.238.171","sungwonryu1","TLSv1.2"
"196","183.110.238.171","183.110.238.171","sungwonryu1","TCP"
"198","183.110.238.171","183.110.238.171","sungwonryu1","TLSv1.2"
"202","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"204","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"206","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"208","183.110.238.171","183.110.238.171","sungwonryu1","TCP"
"210","nrt12s02-in-f163.1e100.net","216.58.197.163","sungwonryu1","TCP"
"212","nrt12s02-in-f163.1e100.net","216.58.197.163","sungwonryu1","TLSv1.3"
"214","nrt12s02-in-f163.1e100.net","216.58.197.163","sungwonryu1","TCP"
"216","nrt12s02-in-f163.1e100.net","216.58.197.163","sungwonryu1","TLSv1.3"
"222","ec2-54-225-181-244.compute-1.amazonaws.com","54.225.181.244","sungwonryu1","TCP"
"225","14.32.69.7","14.32.69.7","sungwonryu1","TLSv1.2"
"229","14.32.69.7","14.32.69.7","sungwonryu1","TCP"
"231","14.32.69.7","14.32.69.7","sungwonryu1","TCP"
"233","14.32.69.7","14.32.69.7","sungwonryu1","TCP"
"241","14.32.69.7","14.32.69.7","sungwonryu1","TLSv1.2"
"244","14.32.69.7","14.32.69.7","sungwonryu1","TCP"
"246","175.196.94.7","175.196.94.7","sungwonryu1","TLSv1.2"
"248","175.196.94.7","175.196.94.7","sungwonryu1","TLSv1.2"
"250","175.196.94.7","175.196.94.7","sungwonryu1","TLSv1.2"
"252","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"254","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"256","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"258","183.110.238.171","183.110.238.171","sungwonryu1","TCP"
"269","ec2-54-235-141-116.compute-1.amazonaws.com","54.235.141.116","sungwonryu1","TLSv1.2"
"271","ec2-54-235-141-116.compute-1.amazonaws.com","54.235.141.116","sungwonryu1","TCP"
"275","ec2-54-235-141-116.compute-1.amazonaws.com","54.235.141.116","sungwonryu1","TLSv1.2"
"299","ec2-54-235-141-116.compute-1.amazonaws.com","54.235.141.116","sungwonryu1","TLSv1.2"
"301","ec2-54-235-141-116.compute-1.amazonaws.com","54.235.141.116","sungwonryu1","TCP"
"307","14.32.69.7","14.32.69.7","sungwonryu1","TLSv1.2"
"311","183.110.238.171","183.110.238.171","sungwonryu1","TLSv1.2"
"313","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"315","14.32.69.7","14.32.69.7","sungwonryu1","TCP"
"317","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"319","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"321","175.196.94.7","175.196.94.7","sungwonryu1","TLSv1.2"
"331","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"333","175.196.94.7","175.196.94.7","sungwonryu1","TLSv1.2"
"335","175.196.94.7","175.196.94.7","sungwonryu1","TLSv1.2"
"337","175.196.94.7","175.196.94.7","sungwonryu1","TLSv1.2"
"339","175.196.94.7","175.196.94.7","sungwonryu1","TLSv1.2"
"341","nrt12s02-in-f163.1e100.net","216.58.197.163","sungwonryu1","TLSv1.3"
"343","nrt12s02-in-f163.1e100.net","216.58.197.163","sungwonryu1","TLSv1.3"
"345","183.110.238.171","183.110.238.171","sungwonryu1","TLSv1.2"
"347","nrt12s02-in-f163.1e100.net","216.58.197.163","sungwonryu1","TCP"
"349","14.32.69.7","14.32.69.7","sungwonryu1","TCP"
"351","183.110.238.171","183.110.238.171","sungwonryu1","TCP"
"353","14.32.69.7","14.32.69.7","sungwonryu1","TLSv1.2"
"355","14.32.69.7","14.32.69.7","sungwonryu1","TLSv1.2"
"357","nrt12s02-in-f163.1e100.net","216.58.197.163","sungwonryu1","TLSv1.3"
"359","nrt12s02-in-f163.1e100.net","216.58.197.163","sungwonryu1","TLSv1.3"
"361","nrt12s02-in-f163.1e100.net","216.58.197.163","sungwonryu1","TLSv1.3"
"363","nrt12s02-in-f163.1e100.net","216.58.197.163","sungwonryu1","TLSv1.3"
"365","nrt12s02-in-f163.1e100.net","216.58.197.163","sungwonryu1","TLSv1.3"
"410","ec2-54-235-141-116.compute-1.amazonaws.com","54.235.141.116","sungwonryu1","TLSv1.2"
"424","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"426","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"448","175.196.94.7","175.196.94.7","sungwonryu1","TLSv1.2"
"450","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"452","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"456","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"458","175.196.94.7","175.196.94.7","sungwonryu1","TLSv1.2"
"460","175.196.94.7","175.196.94.7","sungwonryu1","TLSv1.2"
"462","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"464","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"466","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"468","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"470","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"472","175.196.94.7","175.196.94.7","sungwonryu1","TLSv1.2"
"474","nrt12s02-in-f163.1e100.net","216.58.197.163","sungwonryu1","TCP"
"476","nrt12s02-in-f163.1e100.net","216.58.197.163","sungwonryu1","TCP"
"478","nrt12s02-in-f163.1e100.net","216.58.197.163","sungwonryu1","TCP"
"502","ec2-54-235-141-116.compute-1.amazonaws.com","54.235.141.116","sungwonryu1","TLSv1.2"
"504","ec2-54-235-141-116.compute-1.amazonaws.com","54.235.141.116","sungwonryu1","TCP"
"506","ec2-54-235-141-116.compute-1.amazonaws.com","54.235.141.116","sungwonryu1","TCP"
"520","ec2-54-235-141-116.compute-1.amazonaws.com","54.235.141.116","sungwonryu1","TCP"
"522","175.196.94.7","175.196.94.7","sungwonryu1","TLSv1.2"
"524","175.196.94.7","175.196.94.7","sungwonryu1","TLSv1.2"
"526","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"528","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"538","183.110.238.171","183.110.238.171","sungwonryu1","TCP"
"540","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"542","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"544","175.196.94.7","175.196.94.7","sungwonryu1","TLSv1.2"
"546","175.196.94.7","175.196.94.7","sungwonryu1","TLSv1.2"
"548","175.196.94.7","175.196.94.7","sungwonryu1","TLSv1.2"
"550","175.196.94.7","175.196.94.7","sungwonryu1","TLSv1.2"
"564","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"566","14.32.69.7","14.32.69.7","sungwonryu1","TCP"
"568","ec2-54-225-181-244.compute-1.amazonaws.com","54.225.181.244","sungwonryu1","TCP"
"574","ec2-54-225-181-244.compute-1.amazonaws.com","54.225.181.244","sungwonryu1","TCP"
"580","ec2-54-235-141-116.compute-1.amazonaws.com","54.235.141.116","sungwonryu1","TLSv1.2"
"582","ec2-54-235-141-116.compute-1.amazonaws.com","54.235.141.116","sungwonryu1","TLSv1.2"
"584","ec2-54-235-141-116.compute-1.amazonaws.com","54.235.141.116","sungwonryu1","TCP"
"596","ec2-54-235-141-116.compute-1.amazonaws.com","54.235.141.116","sungwonryu1","TLSv1.2"
"600","ec2-54-235-141-116.compute-1.amazonaws.com","54.235.141.116","sungwonryu1","TLSv1.2"
"606","ec2-54-235-141-116.compute-1.amazonaws.com","54.235.141.116","sungwonryu1","TCP"
"608","ec2-54-235-141-116.compute-1.amazonaws.com","54.235.141.116","sungwonryu1","TCP"
"610","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"612","175.196.94.7","175.196.94.7","sungwonryu1","TLSv1.2"
"614","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"616","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"618","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"620","175.196.94.7","175.196.94.7","sungwonryu1","TLSv1.2"
"630","175.196.94.7","175.196.94.7","sungwonryu1","TLSv1.2"
"632","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"640","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"642","175.196.94.7","175.196.94.7","sungwonryu1","TLSv1.2"
"644","175.196.94.7","175.196.94.7","sungwonryu1","TLSv1.2"
"646","ec2-54-235-141-116.compute-1.amazonaws.com","54.235.141.116","sungwonryu1","TCP"
"648","ec2-54-235-141-116.compute-1.amazonaws.com","54.235.141.116","sungwonryu1","TLSv1.2"
"650","ec2-54-235-141-116.compute-1.amazonaws.com","54.235.141.116","sungwonryu1","TLSv1.2"
"660","183.110.238.171","183.110.238.171","sungwonryu1","TCP"
"674","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"680","183.110.238.171","183.110.238.171","sungwonryu1","TLSv1.2"
"682","183.110.238.171","183.110.238.171","sungwonryu1","TCP"
"684","183.110.238.171","183.110.238.171","sungwonryu1","TCP"
"692","175.196.94.7","175.196.94.7","sungwonryu1","TLSv1.2"
"694","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"698","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"700","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
"702","175.196.94.7","175.196.94.7","sungwonryu1","TLSv1.2"
"706","175.196.94.7","175.196.94.7","sungwonryu1","TCP"
