"No.","Host","Ip","dst","Protocol"
"3","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"9","175.196.94.11","175.196.94.11","sungwonryu1","TLSv1.2"
"11","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"15","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"17","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"21","175.196.94.11","175.196.94.11","sungwonryu1","TLSv1.2"
"23","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"29","175.196.94.11","175.196.94.11","sungwonryu1","TLSv1.2"
"33","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"38","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"40","175.196.94.11","175.196.94.11","sungwonryu1","TLSv1.2"
"42","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"44","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"46","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"48","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"50","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"52","175.196.94.11","175.196.94.11","sungwonryu1","TLSv1.2"
"54","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"56","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"58","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"60","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"62","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"64","175.196.94.11","175.196.94.11","sungwonryu1","TLSv1.2"
"66","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"68","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"72","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"74","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"76","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"78","175.196.94.11","175.196.94.11","sungwonryu1","TLSv1.2"
"80","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"82","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"84","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"86","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"88","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"90","175.196.94.11","175.196.94.11","sungwonryu1","TLSv1.2"
"92","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"94","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"96","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"98","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"100","175.196.94.11","175.196.94.11","sungwonryu1","TLSv1.2"
"102","175.196.94.11","175.196.94.11","sungwonryu1","TLSv1.2"
"144","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"146","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"148","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"150","175.196.94.11","175.196.94.11","sungwonryu1","TLSv1.2"
"152","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"154","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"156","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"158","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"160","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"162","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"182","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"186","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"188","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"190","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"192","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"196","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"200","175.196.94.11","175.196.94.11","sungwonryu1","TLSv1.2"
"202","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"204","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"206","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"208","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"210","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"212","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"214","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"216","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"218","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"220","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"222","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"224","175.196.94.11","175.196.94.11","sungwonryu1","TLSv1.2"
"226","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"228","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"230","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"232","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"234","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"236","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"238","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"240","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"242","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"244","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"246","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"248","175.196.94.11","175.196.94.11","sungwonryu1","TLSv1.2"
"250","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"252","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"254","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"256","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"258","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"260","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"262","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"264","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"266","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"268","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"270","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"272","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"274","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"318","175.196.94.11","175.196.94.11","sungwonryu1","TLSv1.2"
"326","175.196.94.11","175.196.94.11","sungwonryu1","TLSv1.2"
"328","175.196.94.11","175.196.94.11","sungwonryu1","TLSv1.2"
"330","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"336","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"344","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"346","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"348","175.196.94.11","175.196.94.11","sungwonryu1","TLSv1.2"
"350","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"366","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"368","175.196.94.11","175.196.94.11","sungwonryu1","TLSv1.2"
"370","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"374","175.196.94.11","175.196.94.11","sungwonryu1","TLSv1.2"
"378","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"380","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"382","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"384","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"394","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"396","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"398","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"402","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"404","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"406","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"410","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"412","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"414","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"416","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"418","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"420","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"422","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"436","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"438","175.196.94.11","175.196.94.11","sungwonryu1","TLSv1.2"
"440","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"442","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"444","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"446","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"448","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"450","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"452","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"464","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"466","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"468","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"470","175.196.94.11","175.196.94.11","sungwonryu1","TLSv1.2"
"474","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"480","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"482","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"484","175.196.94.11","175.196.94.11","sungwonryu1","TLSv1.2"
"486","175.196.94.11","175.196.94.11","sungwonryu1","TLSv1.2"
"488","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"490","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"492","175.196.94.11","175.196.94.11","sungwonryu1","TLSv1.2"
"494","175.196.94.11","175.196.94.11","sungwonryu1","TLSv1.2"
"496","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"498","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
"510","175.196.94.11","175.196.94.11","sungwonryu1","TCP"
