"No.","Host","Ip","dst","Protocol"
"1","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"3","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"5","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"7","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"9","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"11","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"13","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"15","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"17","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"19","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"21","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"23","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"25","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"27","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"29","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"31","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"33","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"35","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"37","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"39","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"41","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"43","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"45","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"47","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"49","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"51","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"53","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"55","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"57","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"59","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"61","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"63","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"65","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"67","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"99","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"101","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"103","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"105","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"107","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"109","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"111","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"113","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"115","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"117","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"119","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"121","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"123","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"125","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"127","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"129","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"131","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"133","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"135","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"137","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"139","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"141","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"143","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"145","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"147","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"149","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"151","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"153","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"155","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"157","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"159","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"161","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"163","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"165","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"167","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"169","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"171","adverweb.cjenm.com","14.34.8.217","sungwonryu1","HTTP"
"173","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"175","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"177","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"179","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"181","117.52.14.11","117.52.14.11","sungwonryu1","TCP"
"183","117.52.14.11","117.52.14.11","sungwonryu1","TCP"
"185","117.52.14.11","117.52.14.11","sungwonryu1","TCP"
"235","117.52.14.11","117.52.14.11","sungwonryu1","TCP"
"237","117.52.14.11","117.52.14.11","sungwonryu1","TCP"
"239","117.52.14.11","117.52.14.11","sungwonryu1","TCP"
"241","117.52.14.11","117.52.14.11","sungwonryu1","TCP"
"243","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"245","117.52.14.11","117.52.14.11","sungwonryu1","TCP"
"247","117.52.14.11","117.52.14.11","sungwonryu1","TCP"
"249","117.52.14.11","117.52.14.11","sungwonryu1","TCP"
"251","117.52.14.11","117.52.14.11","sungwonryu1","TCP"
"253","117.52.14.11","117.52.14.11","sungwonryu1","TCP"
"255","117.52.14.11","117.52.14.11","sungwonryu1","TCP"
"257","117.52.14.11","117.52.14.11","sungwonryu1","TCP"
"265","117.52.14.11","117.52.14.11","sungwonryu1","TCP"
"267","117.52.14.11","117.52.14.11","sungwonryu1","TCP"
"269","117.52.14.11","117.52.14.11","sungwonryu1","TCP"
