"No.","Host","Ip","dst","Protocol"
"45","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"47","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"49","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"51","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"53","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"55","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"57","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"59","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"61","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"63","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"65","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"67","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"69","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"71","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"73","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"75","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"77","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"79","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"81","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"83","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"85","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"87","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"89","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"91","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"93","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"95","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"97","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"99","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"101","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"103","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"105","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"107","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"109","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"111","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"113","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"115","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"117","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"119","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"121","119.207.68.95","119.207.68.95","sungwonryu1","TCP"
"123","119.207.68.95","119.207.68.95","sungwonryu1","TCP"
"125","119.207.68.95","119.207.68.95","sungwonryu1","TCP"
"127","119.207.68.95","119.207.68.95","sungwonryu1","TCP"
"129","119.207.68.95","119.207.68.95","sungwonryu1","TCP"
"131","119.207.68.95","119.207.68.95","sungwonryu1","TCP"
"133","119.207.68.95","119.207.68.95","sungwonryu1","TCP"
"135","119.207.68.95","119.207.68.95","sungwonryu1","TCP"
"137","119.207.68.95","119.207.68.95","sungwonryu1","TCP"
"139","119.207.68.95","119.207.68.95","sungwonryu1","TCP"
"141","119.207.68.95","119.207.68.95","sungwonryu1","TCP"
"143","119.207.68.95","119.207.68.95","sungwonryu1","TCP"
"145","119.207.68.95","119.207.68.95","sungwonryu1","TCP"
"147","119.207.68.95","119.207.68.95","sungwonryu1","TCP"
"149","119.207.68.95","119.207.68.95","sungwonryu1","TCP"
"151","119.207.68.95","119.207.68.95","sungwonryu1","TCP"
"153","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"155","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"157","14.34.8.217","14.34.8.217","sungwonryu1","HTTP"
"159","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"185","nrt20s20-in-f8.1e100.net","172.217.175.72","sungwonryu1","TCP"
"187","nrt20s20-in-f8.1e100.net","172.217.175.72","sungwonryu1","TLSv1.2"
"191","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"193","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"195","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"197","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"199","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"201","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"203","119.207.68.95","119.207.68.95","sungwonryu1","TCP"
"205","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"207","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"209","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"211","119.207.68.95","119.207.68.95","sungwonryu1","TCP"
"213","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"215","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"217","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"219","119.207.68.95","119.207.68.95","sungwonryu1","TCP"
"221","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"223","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"238","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"240","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"242","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"244","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"246","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"248","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"250","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"252","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"254","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"256","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"258","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"260","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"262","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"264","119.207.68.95","119.207.68.95","sungwonryu1","TCP"
"266","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"268","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"270","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"272","119.207.68.95","119.207.68.95","sungwonryu1","TCP"
"274","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"276","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"278","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"280","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"282","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"284","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"286","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"288","119.207.68.95","119.207.68.95","sungwonryu1","TCP"
"290","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"292","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"294","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"296","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"298","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"300","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"302","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"304","119.207.68.95","119.207.68.95","sungwonryu1","TCP"
"306","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"308","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"310","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"312","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"314","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"316","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"322","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"324","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"326","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"328","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"330","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"332","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"334","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"336","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"338","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"340","14.34.8.217","14.34.8.217","sungwonryu1","HTTP"
"342","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"373","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"375","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"377","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"379","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"381","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"385","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"387","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"389","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"391","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"393","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"395","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"397","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"399","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"401","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"403","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"405","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"407","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"409","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"411","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"413","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"415","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"417","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"419","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"421","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"423","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"425","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"427","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"429","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"431","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"433","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"435","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"437","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"439","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"441","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"445","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"449","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"451","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"456","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"459","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"461","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"463","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"465","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"467","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"469","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"471","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"473","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"475","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"477","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"479","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"481","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"483","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"485","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"487","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"489","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"491","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"493","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"495","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"497","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"530","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"532","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"534","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"536","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"538","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"540","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"542","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"544","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"546","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"548","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"550","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"552","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"554","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"556","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"558","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"560","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"562","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"564","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"566","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"568","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"570","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"572","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"574","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"576","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
"578","119.207.68.95","119.207.68.95","sungwonryu1","HTTP"
