"No.","Host","Ip","dst","Protocol"
"1","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"3","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"5","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"7","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"9","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"11","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"13","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"15","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"17","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"19","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"21","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"23","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"25","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"27","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"29","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"31","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"33","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"35","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"37","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"39","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"41","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"43","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"45","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"47","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"49","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"51","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"53","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"55","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"57","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"59","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"61","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"63","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"65","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"67","14.34.8.217","14.34.8.217","sungwonryu1","HTTP"
"69","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"71","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"73","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"75","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"77","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"79","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"81","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"83","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"85","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"87","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"89","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"91","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"93","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"95","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"97","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"99","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"101","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"103","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"105","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"107","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"109","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"111","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"113","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"115","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"117","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"119","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"175","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"177","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"179","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"181","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"187","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"189","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"191","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"193","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"195","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"197","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"199","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"201","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"203","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"205","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"207","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"209","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"211","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"213","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"215","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"217","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"219","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"221","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"223","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"225","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"227","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"229","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"231","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"233","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"235","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"237","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"239","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"241","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"243","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"245","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
