"No.","Host","Ip","dst","Protocol"
"41","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"43","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"49","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"51","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"53","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"55","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"58","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"60","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"62","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"64","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"66","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"68","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"70","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"72","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"74","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"76","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"78","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"80","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"82","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"84","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"94","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"96","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"98","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"100","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"102","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"104","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"106","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"108","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"110","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"112","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"114","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"116","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"118","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"120","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"122","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"124","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"126","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"128","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"130","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"132","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"134","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"136","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"138","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"140","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"142","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"144","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"146","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"148","14.34.8.217","14.34.8.217","sungwonryu1","HTTP"
"150","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"191","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"193","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"195","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"197","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"199","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"201","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"203","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"205","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"207","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"209","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"211","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"213","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"215","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"217","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"219","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"221","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"223","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"225","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"227","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"229","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"231","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"233","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"235","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"237","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"239","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"241","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"243","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"245","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"247","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"249","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"251","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"253","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"255","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"257","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"259","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"261","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"263","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"265","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"267","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"269","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"271","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"273","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"275","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"277","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"279","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"281","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"283","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"309","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"311","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"315","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"317","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"319","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
"321","117.52.14.11","117.52.14.11","sungwonryu1","HTTP"
