"No.","Host","Ip","dst","Protocol"
"3","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"9","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"11","adverweb.cjenm.com","14.34.8.217","sungwonryu1","HTTP"
"13","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"21","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"23","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"29","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"31","adverweb.cjenm.com","14.34.8.217","sungwonryu1","HTTP"
"33","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"41","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"47","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"49","adverweb.cjenm.com","14.34.8.217","sungwonryu1","HTTP"
"51","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"59","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"61","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"73","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"75","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"77","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"79","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"81","adverweb.cjenm.com","14.34.8.217","sungwonryu1","HTTP"
"83","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"93","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"100","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"102","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"104","adverweb.cjenm.com","14.34.8.217","sungwonryu1","HTTP"
"106","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"128","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"130","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"150","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"153","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"155","adverweb.cjenm.com","14.34.8.217","sungwonryu1","HTTP"
"157","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"165","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"171","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"173","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"175","adverweb.cjenm.com","14.34.8.217","sungwonryu1","HTTP"
"181","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"185","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"191","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"193","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"195","adverweb.cjenm.com","14.34.8.217","sungwonryu1","HTTP"
"203","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"205","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"211","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"213","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"215","adverweb.cjenm.com","14.34.8.217","sungwonryu1","HTTP"
"217","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"227","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"229","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"235","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"237","adverweb.cjenm.com","14.34.8.217","sungwonryu1","HTTP"
"239","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"261","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"271","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"273","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"275","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"281","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"283","adverweb.cjenm.com","14.34.8.217","sungwonryu1","HTTP"
"285","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"293","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"299","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"301","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"303","adverweb.cjenm.com","14.34.8.217","sungwonryu1","HTTP"
"305","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"313","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"317","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"323","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"325","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"327","adverweb.cjenm.com","14.34.8.217","sungwonryu1","HTTP"
"329","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"339","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"341","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"347","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"349","adverweb.cjenm.com","14.34.8.217","sungwonryu1","HTTP"
"351","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"359","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"361","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"365","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"371","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"373","adverweb.cjenm.com","14.34.8.217","sungwonryu1","HTTP"
"375","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"383","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"387","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"397","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"399","adverweb.cjenm.com","14.34.8.217","sungwonryu1","HTTP"
"401","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"407","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"409","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"413","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"419","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"421","adverweb.cjenm.com","14.34.8.217","sungwonryu1","HTTP"
"423","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"431","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
