"No.","Host","Ip","dst","Protocol"
"1","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"3","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"5","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"7","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"9","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"11","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"13","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"15","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"19","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"21","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"23","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"25","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"27","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"29","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"34","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"37","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"45","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"47","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"49","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"51","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"53","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"55","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"57","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"63","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"65","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"67","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"69","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"71","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"73","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"75","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"77","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"79","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"87","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"89","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"93","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"95","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"97","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"99","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"103","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"105","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"109","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"111","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"113","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"115","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"117","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"119","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"121","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"123","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"125","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"127","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"129","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"131","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"139","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"141","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"147","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"149","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"153","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"155","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"157","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"159","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"161","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"163","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"165","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"167","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"169","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"171","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"173","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"185","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"187","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"189","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"191","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"195","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"197","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"199","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"201","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"207","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"209","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"211","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"213","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"215","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"217","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"219","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"221","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"223","14.34.8.217","14.34.8.217","sungwonryu1","HTTP"
"225","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"243","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"245","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","HTTP"
"249","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"255","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"257","14.34.8.217","14.34.8.217","sungwonryu1","HTTP"
"259","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"261","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"263","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"265","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"267","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"269","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"271","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"273","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"275","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"277","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"279","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"281","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"283","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"285","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"287","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"289","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"291","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"306","14.34.8.217","14.34.8.217","sungwonryu1","HTTP"
"308","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"310","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"312","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"314","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"316","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"318","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"320","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"322","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"324","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"326","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"328","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"330","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"332","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"334","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"336","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"338","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"340","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"342","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"356","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"358","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"360","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"362","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"364","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"366","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"368","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"370","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"372","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"374","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"376","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"378","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"380","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"382","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"384","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"386","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"392","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"394","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"396","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"398","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"400","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"402","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"404","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"406","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"408","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"410","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"416","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"418","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"420","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"422","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"424","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"426","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"432","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"434","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"438","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"440","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"442","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"444","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"446","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"448","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"450","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"452","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"454","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"456","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"458","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"460","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"462","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"464","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"474","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"476","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"480","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"482","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"486","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"488","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"490","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"492","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"494","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"496","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"498","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"500","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"502","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"504","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"506","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"508","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"514","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"516","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"532","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"535","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"538","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"540","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"546","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"548","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
"550","cha-mcdn.tving.com.cloud.gscdn.net","175.126.190.8","sungwonryu1","TCP"
