"No.","Host","Ip","dst","Protocol"
"1","ec2-15-164-16-222.ap-northeast-2.compute.amazonaws.com","15.164.16.222","sungwonryu1","TCP"
"3","ec2-15-164-16-222.ap-northeast-2.compute.amazonaws.com","15.164.16.222","sungwonryu1","TCP"
"9","ec2-15-164-16-222.ap-northeast-2.compute.amazonaws.com","15.164.16.222","sungwonryu1","TCP"
"11","ec2-15-164-16-222.ap-northeast-2.compute.amazonaws.com","15.164.16.222","sungwonryu1","TCP"
"17","ec2-15-164-16-222.ap-northeast-2.compute.amazonaws.com","15.164.16.222","sungwonryu1","TCP"
"19","ec2-15-164-16-222.ap-northeast-2.compute.amazonaws.com","15.164.16.222","sungwonryu1","TCP"
"33","ec2-15-164-16-222.ap-northeast-2.compute.amazonaws.com","15.164.16.222","sungwonryu1","TCP"
"37","ec2-15-164-16-222.ap-northeast-2.compute.amazonaws.com","15.164.16.222","sungwonryu1","TCP"
"45","ec2-15-164-16-222.ap-northeast-2.compute.amazonaws.com","15.164.16.222","sungwonryu1","TCP"
"55","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","HTTP"
"61","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"63","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"65","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"67","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"69","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"71","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"73","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"75","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"77","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"79","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"81","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"83","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"85","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"87","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"89","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"91","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"93","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"95","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"97","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"99","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"101","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"103","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"105","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"107","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"109","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"111","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"113","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"115","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"117","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"119","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"121","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"123","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"125","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"127","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"129","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"131","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"133","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"135","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"137","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"139","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"141","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"143","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"145","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"147","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"149","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"151","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"153","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"155","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"157","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"159","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"161","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"163","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"165","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"167","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"169","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"171","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"173","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"175","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"177","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"179","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"181","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"183","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"185","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"187","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"189","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"319","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"321","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"323","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"325","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"327","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"329","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"331","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"333","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"335","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"337","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"339","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"341","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"343","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"345","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"347","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"349","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"351","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"353","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"355","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"357","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"359","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"365","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"367","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"369","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"371","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"373","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"375","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"377","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"379","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"381","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"383","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"385","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"387","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"389","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"391","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"393","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"395","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"397","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"403","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"405","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"407","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"409","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"411","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"413","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"415","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"451","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"455","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"457","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"459","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"461","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"463","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"471","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"473","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"475","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"477","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"479","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"481","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"483","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"485","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"487","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"489","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"491","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"493","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"495","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"497","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"499","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"501","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"503","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"505","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"507","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"509","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"511","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"513","jtbc-mcdn.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
