"No.","Host","Ip","dst","Protocol"
"2","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"4","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"6","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","SSLv2"
"8","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"10","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"12","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"14","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"16","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"18","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"20","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"22","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"24","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"26","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"28","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"30","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"32","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"34","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"36","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"38","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"40","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"42","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"44","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","SSLv2"
"46","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","SSLv2"
"67","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"69","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","SSLv2"
"71","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"77","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"79","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"81","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"83","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"85","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"87","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"89","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"91","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"93","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"95","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"97","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","SSLv2"
"99","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"101","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"103","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","SSLv2"
"105","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"107","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"109","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"111","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"113","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"133","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"135","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","SSLv2"
"139","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"141","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"143","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"145","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"147","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"149","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"151","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"153","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
"155","chcgv-drm.tving.com.cloud.gscdn.net","183.111.251.156","sungwonryu1","TCP"
