"No.","Host","Ip","dst","Protocol"
"25","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"27","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"29","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"31","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"33","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"35","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"37","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"41","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"43","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"45","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"47","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"49","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"51","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"53","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"59","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"61","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"63","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"65","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"67","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"69","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"71","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"73","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"75","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"77","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"79","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"81","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"83","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"85","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"87","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"89","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"91","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"93","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"95","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","TCP"
"97","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"99","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
"101","diatv-mcdn.tving.com.cloud.gscdn.net","175.126.190.4","sungwonryu1","HTTP"
