"No.","Host","Ip","dst","Protocol"
"2","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"4","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"6","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"18","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"20","14.34.8.217","14.34.8.217","sungwonryu1","HTTP"
"22","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"24","ssl-google-analytics.l.google.com","172.217.25.104","sungwonryu1","TCP"
"36","114.108.158.15","114.108.158.15","sungwonryu1","HTTP"
"40","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"42","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"48","ssl-google-analytics.l.google.com","172.217.25.104","sungwonryu1","TCP"
"50","ssl-google-analytics.l.google.com","172.217.25.104","sungwonryu1","TLSv1.2"
"56","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"58","14.34.8.217","14.34.8.217","sungwonryu1","HTTP"
"60","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"68","ssl-google-analytics.l.google.com","172.217.25.104","sungwonryu1","TCP"
"70","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"78","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"80","14.34.8.217","14.34.8.217","sungwonryu1","HTTP"
"82","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"86","ssl-google-analytics.l.google.com","172.217.25.104","sungwonryu1","TCP"
"90","ssl-google-analytics.l.google.com","172.217.25.104","sungwonryu1","TLSv1.2"
"108","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"110","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"112","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"114","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","HTTP"
"116","ssl-google-analytics.l.google.com","172.217.25.104","sungwonryu1","TLSv1.2"
"118","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"120","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"122","14.34.8.217","14.34.8.217","sungwonryu1","TCP"
"160","114.108.158.15","114.108.158.15","sungwonryu1","HTTP"
"162","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","HTTP"
"172","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"174","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"176","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"178","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"180","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"182","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"184","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"186","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"188","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"190","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"192","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"202","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"204","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"206","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"208","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"210","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"212","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"214","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"216","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"218","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"220","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"222","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"224","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"226","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"228","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"230","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"232","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"234","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"236","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"238","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"240","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"242","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"244","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"246","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"248","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"250","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"252","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"254","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"256","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"258","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"260","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"262","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"264","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"266","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"268","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"270","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
"272","server-54-192-69-126.icn55.r.cloudfront.net","54.192.69.126","sungwonryu1","TCP"
