"No.","Host","Ip","dst","Protocol"
"1935","tving-cjimg2.lgucdn.com","114.108.158.15","sungwonryu1","TCP"
"1945","tving-cjimg2.lgucdn.com","114.108.158.15","sungwonryu1","TCP"
"1947","tving-cjimg2.lgucdn.com","114.108.158.15","sungwonryu1","TCP"
"1949","tving-cjimg2.lgucdn.com","114.108.158.15","sungwonryu1","HTTP"
"1951","android.l.google.com","216.58.197.238","sungwonryu1","TCP"
"1971","tving-cjimg2.lgucdn.com","114.108.158.15","sungwonryu1","TCP"
"1973","tving-cjimg2.lgucdn.com","114.108.158.15","sungwonryu1","HTTP"
"1975","android.l.google.com","216.58.197.238","sungwonryu1","TCP"
"1990","android.l.google.com","216.58.197.238","sungwonryu1","TLSv1.3"
"1992","android.l.google.com","216.58.197.238","sungwonryu1","TCP"
"1994","android.l.google.com","216.58.197.238","sungwonryu1","TLSv1.3"
"2013","api.tving.com","14.34.8.207","sungwonryu1","TCP"
"2021","android.l.google.com","216.58.197.238","sungwonryu1","TCP"
"2025","api.tving.com","14.34.8.207","sungwonryu1","TCP"
"2027","api.tving.com","14.34.8.207","sungwonryu1","HTTP"
"2045","android.l.google.com","216.58.197.238","sungwonryu1","TCP"
"2047","api.tving.com","14.34.8.207","sungwonryu1","TCP"
"2049","api.tving.com","14.34.8.207","sungwonryu1","TCP"
"2051","api.tving.com","14.34.8.207","sungwonryu1","HTTP"
"2053","api.tving.com","14.34.8.207","sungwonryu1","TCP"
"2063","api.tving.com","14.34.8.207","sungwonryu1","TCP"
"2080","android.l.google.com","216.58.197.238","sungwonryu1","TCP"
"2090","api.tving.com","14.34.8.207","sungwonryu1","TCP"
"2092","api.tving.com","14.34.8.207","sungwonryu1","TCP"
"2094","api.tving.com","14.34.8.207","sungwonryu1","TCP"
"2096","api.tving.com","14.34.8.207","sungwonryu1","TCP"
"2098","api.tving.com","14.34.8.207","sungwonryu1","TCP"
"2100","api.tving.com","14.34.8.207","sungwonryu1","HTTP"
"2112","android.l.google.com","216.58.197.238","sungwonryu1","TLSv1.3"
"2114","android.l.google.com","216.58.197.238","sungwonryu1","TLSv1.3"
"2116","android.l.google.com","216.58.197.238","sungwonryu1","TLSv1.3"
"2122","events-endpoint-455714294.us-east-1.elb.amazonaws.com","54.225.230.205","sungwonryu1","TCP"
"2128","events-endpoint-455714294.us-east-1.elb.amazonaws.com","54.225.230.205","sungwonryu1","TCP"
"2130","events-endpoint-455714294.us-east-1.elb.amazonaws.com","54.225.230.205","sungwonryu1","TLSv1.2"
"2132","events-endpoint-455714294.us-east-1.elb.amazonaws.com","54.225.230.205","sungwonryu1","TCP"
"2134","events-endpoint-455714294.us-east-1.elb.amazonaws.com","54.225.230.205","sungwonryu1","TLSv1.2"
"2136","events-endpoint-455714294.us-east-1.elb.amazonaws.com","54.225.230.205","sungwonryu1","TLSv1.2"
"2153","events-endpoint-455714294.us-east-1.elb.amazonaws.com","54.225.230.205","sungwonryu1","TLSv1.2"
"2157","api.tving.com","14.34.8.207","sungwonryu1","HTTP"
"2159","api.tving.com","14.34.8.207","sungwonryu1","TCP"
"2167","api.tving.com","14.34.8.207","sungwonryu1","TCP"
"2169","api.tving.com","14.34.8.207","sungwonryu1","TLSv1.2"
"2171","api.tving.com","14.34.8.207","sungwonryu1","TCP"
"2173","api.tving.com","14.34.8.207","sungwonryu1","TCP"
"2175","api.tving.com","14.34.8.207","sungwonryu1","TCP"
"2177","api.tving.com","14.34.8.207","sungwonryu1","TLSv1.2"
"2179","events-endpoint-455714294.us-east-1.elb.amazonaws.com","54.225.230.205","sungwonryu1","TLSv1.2"
"2181","api.tving.com","14.34.8.207","sungwonryu1","TCP"
"2199","api.tving.com","14.34.8.207","sungwonryu1","TLSv1.2"
"2203","api.tving.com","14.34.8.207","sungwonryu1","TLSv1.2"
"2207","events-endpoint-455714294.us-east-1.elb.amazonaws.com","54.225.230.205","sungwonryu1","TLSv1.2"
"2257","app-measurement.com","172.217.161.46","sungwonryu1","TCP"
"2266","app-measurement.com","172.217.161.46","sungwonryu1","TCP"
"2268","app-measurement.com","172.217.161.46","sungwonryu1","TLSv1.2"
"2270","app-measurement.com","172.217.161.46","sungwonryu1","TCP"
"2272","app-measurement.com","172.217.161.46","sungwonryu1","TLSv1.2"
"2282","app-measurement.com","172.217.161.46","sungwonryu1","TLSv1.2"
"2288","tving-cjimg2.lgucdn.com","114.108.158.15","sungwonryu1","TCP"
"2290","tving-cjimg2.lgucdn.com","114.108.158.15","sungwonryu1","HTTP"
"2296","app-measurement.com","172.217.161.46","sungwonryu1","TCP"
"2298","tving-cjimg2.lgucdn.com","114.108.158.15","sungwonryu1","TCP"
