"No.","Host","Ip","dst","Protocol"
"1","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"3","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"11","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"13","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"15","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"17","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"19","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"21","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"23","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"25","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"27","adverweb.cjenm.com","14.34.8.217","sungwonryu1","HTTP"
"29","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"31","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"33","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"35","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"37","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"39","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"45","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"47","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"53","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"55","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"61","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"63","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"69","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"71","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"73","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"75","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"77","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"79","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"81","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"83","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"85","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"87","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"89","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"91","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"93","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"95","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"97","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"107","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"109","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"111","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"113","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"115","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"117","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"119","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"121","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"123","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"125","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"137","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"139","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"141","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"143","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"147","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"149","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"151","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"153","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"155","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"157","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"159","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"161","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"163","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"165","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"167","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"169","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"171","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"173","adverweb.cjenm.com","14.34.8.217","sungwonryu1","HTTP"
"175","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"191","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"193","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"199","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"201","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"203","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"205","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"207","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"209","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"211","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"213","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"215","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"217","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"219","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"221","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"223","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"225","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"227","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"245","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"247","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"249","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"251","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"253","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"255","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"257","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"259","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"261","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"263","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"265","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"267","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"269","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"271","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"281","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"283","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"285","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"287","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"289","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"291","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"293","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"295","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"297","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"299","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"301","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"303","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"305","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"307","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"309","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"311","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"313","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"315","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"317","adverweb.cjenm.com","14.34.8.217","sungwonryu1","HTTP"
"319","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"335","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"337","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"341","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"343","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"345","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"347","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"349","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"351","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"353","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"355","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"357","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"359","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"361","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"363","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"373","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"375","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"381","adverweb.cjenm.com","14.34.8.217","sungwonryu1","TCP"
"385","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"387","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"389","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"391","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"399","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"401","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"403","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"405","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"407","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"409","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"411","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"413","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"415","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"417","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
"419","182.162.216.22","182.162.216.22","sungwonryu1","TCP"
