"No.","Host","Ip","dst","Protocol"
"1","s.mopub.com","192.48.236.10","sungwonryu1.local","TLSv1.2"
"3","s.mopub.com","192.48.236.10","sungwonryu1.local","TCP"
"5","s.mopub.com","192.48.236.10","sungwonryu1.local","TLSv1.2"
"20","s.mopub.com","192.48.236.10","sungwonryu1.local","TCP"
"22","nrt12s23-in-f2.1e100.net","172.217.161.34","sungwonryu1.local","TCP"
"24","nrt12s23-in-f2.1e100.net","172.217.161.34","sungwonryu1.local","TCP"
"26","nrt12s23-in-f2.1e100.net","172.217.161.34","sungwonryu1.local","TCP"
"28","s.mopub.com","192.48.236.10","sungwonryu1.local","TLSv1.2"
"36","nrt12s23-in-f2.1e100.net","172.217.161.34","sungwonryu1.local","TLSv1.2"
"42","nrt12s23-in-f2.1e100.net","172.217.161.34","sungwonryu1.local","TCP"
"52","s.mopub.com","192.48.236.10","sungwonryu1.local","TLSv1.2"
"54","star.c10r.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"70","star.c10r.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"72","star.c10r.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"74","star.c10r.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"76","star.c10r.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"90","star.c10r.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"92","star.c10r.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"94","star.c10r.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"102","star.c10r.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"104","star.c10r.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"108","star.c10r.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"110","star.c10r.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"112","star.c10r.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"114","star.c10r.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"116","star.c10r.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"126","star.c10r.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"138","192.229.237.101","192.229.237.101","sungwonryu1.local","TLSv1.2"
"140","192.229.237.101","192.229.237.101","sungwonryu1.local","TCP"
"146","110.76.141.196","110.76.141.196","sungwonryu1.local","TCP"
"152","110.76.141.196","110.76.141.196","sungwonryu1.local","TCP"
"154","110.76.141.196","110.76.141.196","sungwonryu1.local","TCP"
"156","110.76.141.196","110.76.141.196","sungwonryu1.local","TCP"
"158","110.76.141.196","110.76.141.196","sungwonryu1.local","TLSv1.2"
"170","110.76.141.196","110.76.141.196","sungwonryu1.local","TCP"
"172","110.76.141.196","110.76.141.196","sungwonryu1.local","TLSv1.2"
"174","110.76.141.196","110.76.141.196","sungwonryu1.local","TLSv1.2"
"176","s.mopub.com","192.48.236.10","sungwonryu1.local","TCP"
"178","s.mopub.com","192.48.236.10","sungwonryu1.local","TLSv1.2"
"192","110.76.141.196","110.76.141.196","sungwonryu1.local","TCP"
"194","110.76.141.196","110.76.141.196","sungwonryu1.local","TLSv1.2"
"204","110.76.141.196","110.76.141.196","sungwonryu1.local","TCP"
"206","110.76.141.196","110.76.141.196","sungwonryu1.local","TLSv1.2"
"210","ec2-15-164-101-228.ap-northeast-2.compute.amazonaws.com","15.164.101.228","sungwonryu1.local","TCP"
"212","s.mopub.com","192.48.236.10","sungwonryu1.local","TCP"
"214","s.mopub.com","192.48.236.10","sungwonryu1.local","TLSv1.2"
"224","ec2-15-164-101-228.ap-northeast-2.compute.amazonaws.com","15.164.101.228","sungwonryu1.local","HTTP"
"235","nrt12s23-in-f2.1e100.net","172.217.161.34","sungwonryu1.local","TCP"
"237","nrt12s23-in-f2.1e100.net","172.217.161.34","sungwonryu1.local","TCP"
"239","nrt12s23-in-f2.1e100.net","172.217.161.34","sungwonryu1.local","TCP"
"241","s.mopub.com","192.48.236.10","sungwonryu1.local","TLSv1.2"
"253","nrt12s23-in-f2.1e100.net","172.217.161.34","sungwonryu1.local","TCP"
"257","nrt12s23-in-f2.1e100.net","172.217.161.34","sungwonryu1.local","TCP"
"263","nrt12s23-in-f2.1e100.net","172.217.161.34","sungwonryu1.local","TCP"
"265","1.234.29.187","1.234.29.187","sungwonryu1.local","TCP"
"267","nrt12s23-in-f2.1e100.net","172.217.161.34","sungwonryu1.local","TCP"
"271","nrt12s23-in-f2.1e100.net","172.217.161.34","sungwonryu1.local","TCP"
"283","nrt12s23-in-f2.1e100.net","172.217.161.34","sungwonryu1.local","TCP"
"287","nrt12s23-in-f2.1e100.net","172.217.161.34","sungwonryu1.local","TCP"
"291","nrt12s23-in-f2.1e100.net","172.217.161.34","sungwonryu1.local","TCP"
"295","1.234.29.187","1.234.29.187","sungwonryu1.local","TCP"
"297","1.234.29.187","1.234.29.187","sungwonryu1.local","TLSv1.2"
"299","1.234.29.187","1.234.29.187","sungwonryu1.local","TCP"
