"No.","Host","Ip","dst","Protocol"
"11","nrt12s02-in-f1.1e100.net","216.58.197.161","sungwonryu1.local","SSL"
"13","nrt12s02-in-f1.1e100.net","216.58.197.161","sungwonryu1.local","TLSv1.3"
"15","nrt12s02-in-f1.1e100.net","216.58.197.161","sungwonryu1.local","TCP"
"17","nrt12s02-in-f1.1e100.net","216.58.197.161","sungwonryu1.local","TLSv1.3"
"19","nrt12s02-in-f1.1e100.net","216.58.197.161","sungwonryu1.local","TCP"
"21","nrt12s02-in-f1.1e100.net","216.58.197.161","sungwonryu1.local","TLSv1.3"
"35","nrt12s02-in-f1.1e100.net","216.58.197.161","sungwonryu1.local","TLSv1.2"
"37","nrt12s02-in-f1.1e100.net","216.58.197.161","sungwonryu1.local","TLSv1.2"
"39","nrt12s02-in-f1.1e100.net","216.58.197.161","sungwonryu1.local","TLSv1.2"
"41","nrt12s02-in-f1.1e100.net","216.58.197.161","sungwonryu1.local","TLSv1.2"
"43","nrt12s02-in-f1.1e100.net","216.58.197.161","sungwonryu1.local","TLSv1.2"
"45","nrt12s02-in-f1.1e100.net","216.58.197.161","sungwonryu1.local","TLSv1.2"
"47","nrt12s02-in-f1.1e100.net","216.58.197.161","sungwonryu1.local","TCP"
"49","nrt12s02-in-f1.1e100.net","216.58.197.161","sungwonryu1.local","TCP"
"51","nrt12s02-in-f1.1e100.net","216.58.197.161","sungwonryu1.local","TCP"
"53","nrt12s02-in-f1.1e100.net","216.58.197.161","sungwonryu1.local","TCP"
"55","nrt12s02-in-f1.1e100.net","216.58.197.161","sungwonryu1.local","TLSv1.2"
"57","nrt12s02-in-f1.1e100.net","216.58.197.161","sungwonryu1.local","TCP"
"59","nrt12s02-in-f1.1e100.net","216.58.197.161","sungwonryu1.local","TCP"
"61","nrt12s02-in-f1.1e100.net","216.58.197.161","sungwonryu1.local","TCP"
"63","nrt12s02-in-f1.1e100.net","216.58.197.161","sungwonryu1.local","TLSv1.2"
"65","nrt12s28-in-f1.1e100.net","172.217.174.97","sungwonryu1.local","TLSv1.2"
"67","nrt12s28-in-f1.1e100.net","172.217.174.97","sungwonryu1.local","TLSv1.2"
"103","nrt12s02-in-f1.1e100.net","216.58.197.161","sungwonryu1.local","TLSv1.2"
"105","nrt12s28-in-f1.1e100.net","172.217.174.97","sungwonryu1.local","TLSv1.2"
"107","nrt12s28-in-f1.1e100.net","172.217.174.97","sungwonryu1.local","TLSv1.2"
"117","nrt12s28-in-f1.1e100.net","172.217.174.97","sungwonryu1.local","TLSv1.2"
"147","nrt12s02-in-f1.1e100.net","216.58.197.161","sungwonryu1.local","TLSv1.2"
"149","nrt12s02-in-f1.1e100.net","216.58.197.161","sungwonryu1.local","TLSv1.2"
"151","nrt12s02-in-f1.1e100.net","216.58.197.161","sungwonryu1.local","TLSv1.2"
