"No.","Host","Ip","dst","Protocol"
"3","1.234.29.187","1.234.29.187","sungwonryu1.local","TCP"
"9","1.234.29.187","1.234.29.187","sungwonryu1.local","TCP"
"11","1.234.29.187","1.234.29.187","sungwonryu1.local","TLSv1.2"
"13","1.234.29.187","1.234.29.187","sungwonryu1.local","TCP"
"15","1.234.29.187","1.234.29.187","sungwonryu1.local","TLSv1.2"
"25","1.234.29.187","1.234.29.187","sungwonryu1.local","TLSv1.2"
"29","1.234.29.187","1.234.29.187","sungwonryu1.local","TLSv1.2"
"31","1.234.29.187","1.234.29.187","sungwonryu1.local","TCP"
"39","1.234.29.187","1.234.29.187","sungwonryu1.local","TCP"
"41","1.234.29.187","1.234.29.187","sungwonryu1.local","TCP"
"47","1.234.29.187","1.234.29.187","sungwonryu1.local","TCP"
"49","1.234.29.187","1.234.29.187","sungwonryu1.local","TLSv1.2"
"51","1.234.29.187","1.234.29.187","sungwonryu1.local","TCP"
"53","1.234.29.187","1.234.29.187","sungwonryu1.local","TLSv1.2"
"63","1.234.29.187","1.234.29.187","sungwonryu1.local","TLSv1.2"
"67","1.234.29.187","1.234.29.187","sungwonryu1.local","TLSv1.2"
"69","1.234.29.187","1.234.29.187","sungwonryu1.local","TCP"
"81","1.234.29.187","1.234.29.187","sungwonryu1.local","TCP"
"91","192.48.236.10","192.48.236.10","sungwonryu1.local","TCP"
"93","192.48.236.10","192.48.236.10","sungwonryu1.local","TCP"
"99","192.48.236.10","192.48.236.10","sungwonryu1.local","TLSv1.2"
"101","192.48.236.10","192.48.236.10","sungwonryu1.local","TCP"
"103","192.48.236.10","192.48.236.10","sungwonryu1.local","TLSv1.2"
"122","nrt12s23-in-f2.1e100.net","172.217.161.34","sungwonryu1.local","TCP"
"124","nrt12s23-in-f2.1e100.net","172.217.161.34","sungwonryu1.local","TCP"
"126","nrt12s23-in-f2.1e100.net","172.217.161.34","sungwonryu1.local","TCP"
"128","192.48.236.10","192.48.236.10","sungwonryu1.local","TCP"
"130","192.48.236.10","192.48.236.10","sungwonryu1.local","TLSv1.2"
"136","nrt12s23-in-f2.1e100.net","172.217.161.34","sungwonryu1.local","TCP"
"138","nrt12s23-in-f2.1e100.net","172.217.161.34","sungwonryu1.local","TLSv1.2"
"149","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"151","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"153","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"155","192.48.236.10","192.48.236.10","sungwonryu1.local","TCP"
"157","192.48.236.10","192.48.236.10","sungwonryu1.local","TLSv1.2"
"161","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"163","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"165","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
