"No.","Host","Ip","dst","Protocol"
"93","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"99","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"105","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"107","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"109","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"111","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"119","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"121","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"123","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"125","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"137","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"141","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"145","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"147","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"149","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"151","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"155","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"159","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TLSv1.2"
"171","edge-star-shv-01-ssn1.facebook.com","157.240.215.16","sungwonryu1.local","TCP"
"181","1.234.29.187","1.234.29.187","sungwonryu1.local","TCP"
"187","1.234.29.187","1.234.29.187","sungwonryu1.local","TCP"
"189","1.234.29.187","1.234.29.187","sungwonryu1.local","TLSv1.2"
"191","1.234.29.187","1.234.29.187","sungwonryu1.local","TCP"
"193","1.234.29.187","1.234.29.187","sungwonryu1.local","TLSv1.2"
"203","1.234.29.187","1.234.29.187","sungwonryu1.local","TLSv1.2"
"207","1.234.29.187","1.234.29.187","sungwonryu1.local","TLSv1.2"
"209","1.234.29.187","1.234.29.187","sungwonryu1.local","TCP"
"215","1.234.29.187","1.234.29.187","sungwonryu1.local","TCP"
"223","14.49.41.231","14.49.41.231","sungwonryu1.local","TCP"
"227","1.234.29.187","1.234.29.187","sungwonryu1.local","TCP"
"235","1.234.29.187","1.234.29.187","sungwonryu1.local","TCP"
"237","1.234.29.187","1.234.29.187","sungwonryu1.local","TLSv1.2"
"239","1.234.29.187","1.234.29.187","sungwonryu1.local","TCP"
"241","1.234.29.187","1.234.29.187","sungwonryu1.local","TLSv1.2"
"243","14.49.41.231","14.49.41.231","sungwonryu1.local","TCP"
"245","14.49.41.231","14.49.41.231","sungwonryu1.local","TLSv1.2"
"247","14.49.41.231","14.49.41.231","sungwonryu1.local","TCP"
"249","14.49.41.231","14.49.41.231","sungwonryu1.local","TCP"
"251","14.49.41.231","14.49.41.231","sungwonryu1.local","TLSv1.2"
"253","14.49.41.231","14.49.41.231","sungwonryu1.local","TLSv1.2"
"277","1.234.29.187","1.234.29.187","sungwonryu1.local","TLSv1.2"
"279","14.49.41.231","14.49.41.231","sungwonryu1.local","TCP"
"281","14.49.41.231","14.49.41.231","sungwonryu1.local","TLSv1.2"
"287","1.234.29.187","1.234.29.187","sungwonryu1.local","TLSv1.2"
"289","1.234.29.187","1.234.29.187","sungwonryu1.local","TCP"
"295","14.49.41.231","14.49.41.231","sungwonryu1.local","TCP"
"297","14.49.41.231","14.49.41.231","sungwonryu1.local","TLSv1.2"
"299","14.49.41.231","14.49.41.231","sungwonryu1.local","TCP"
"305","1.234.29.187","1.234.29.187","sungwonryu1.local","TCP"
"307","14.49.41.231","14.49.41.231","sungwonryu1.local","TCP"
"309","14.49.41.231","14.49.41.231","sungwonryu1.local","TCP"
